"pop.change","r.All.yrs","r.1GL","r.2GL"
-87.7175654573357,-0.0602318499009034,-0.0915717221982604,-0.0602318499009034
-87.904716199833,-0.0790908248074054,-0.109755659667685,-0.0790908248074054
-89.4938340093136,-0.104685015456419,-0.121600937043706,-0.104685015456419
-91.399582407317,-0.0681937738292273,-0.105214795410312,-0.0788764464617948
-86.1551383383567,-0.0603571196497228,-0.0731061601384235,-0.0603571196497228
-87.328378837144,-0.0575775918012971,-0.120502619427695,-0.0575775918012971
-83.0537691927827,-0.105928410995269,-0.111982443326004,-0.105928410995269
-87.4346018887326,-0.0675487328514253,-0.0595677946275499,-0.0675487328514253
-83.5321060580164,-0.0434210367391605,-0.0434210367391605,-0.0434210367391605
-85.9270127234152,-0.0732993153267145,-0.075734104874174,-0.0732993153267145
-86.0963703410606,-0.0597184874557382,-0.0869060615486719,-0.0597184874557382
-85.8866915263108,-0.0918978239381119,-0.0966936358273616,-0.0918978239381119
-85.671816865004,-0.101370260270409,-0.110840098910796,-0.101370260270409
-86.6898813746359,-0.0688444773056593,-0.114519338789821,-0.0688444773056593
-88.4351424671952,-0.129660483170819,-0.0950324755611094,-0.129660483170819
-87.5118756914493,-0.0843885743789219,-0.0843885743789219,-0.0843885743789219
-87.1851193803162,-0.0837233863623661,-0.0564488887924242,-0.0837233863623661
-85.456214120561,-0.0774601498866803,-0.0897984788049007,-0.0774601498866803
-86.5018131724016,-0.0737602325581879,-0.0612384197972693,-0.0737602325581879
-85.3300445949631,-0.0864726263980815,-0.108215760404576,-0.0864726263980815
-87.7997809832722,-0.0697879925144429,-0.0553056918865291,-0.0697879925144429
-83.8231735213978,-0.100003730391584,-0.0868244892386407,-0.100003730391584
-86.5649916312662,-0.0723816174046688,-0.0721563285631106,-0.0723816174046688
-86.0659931217195,-0.0848859952104339,-0.0848859952104339,-0.0848859952104339
-86.9630065450444,-0.0331330598744994,-0.0858750695031993,-0.0434253958361381
-86.1997130881454,-0.0649269603751108,-0.0465034487371385,-0.0649269603751108
-83.2232489954388,-0.0510248853340531,-0.0647786665611907,-0.0510248853340531
-86.3460708131867,-0.0709796301871402,-0.0735137431408752,-0.0709796301871402
-87.2844053069986,-0.0833161809198453,-0.0966484475251104,-0.0833161809198453
-84.0869933771393,-0.0440954926358827,-0.0440954926358827,-0.0440954926358827
-83.636143235681,-0.0877373785339772,-0.0929121195878029,-0.0877373785339772
-84.3362428001046,-0.0734549517478502,-0.0698484727885278,-0.0734549517478502
-84.7179823110566,-0.0644273537405082,-0.0644273537405082,-0.0644273537405082
-86.8645573260574,-0.0736550929837971,-0.120569386597574,-0.0736550929837971
-88.7364252877313,-0.0740190890311903,-0.116577695951126,-0.0740190890311903
-90.2442763121488,-0.0655989227649938,-0.114315512910257,-0.0677355630980054
-86.6241927949879,-0.0742039120091054,-0.090109226769985,-0.0742039120091054
-89.4816322916465,-0.0962603924103522,-0.0962603924103522,-0.0962603924103522
-86.2220139444287,-0.067884052567166,-0.0743565922551435,-0.067884052567166
-88.0000392473562,-0.0456589976715041,-0.0743505200612455,-0.0511292013140743
-87.7008544342477,-0.074879817206825,-0.0543397216422088,-0.074879817206825
-87.1093902541705,-0.114151197171224,-0.114151197171224,-0.114151197171224
-89.6101357258504,-0.0386326016135614,-0.0962685381667567,-0.0535388540057271
-88.4314491332999,-0.081091328530432,-0.0788008668982751,-0.081091328530432
-87.5982048583583,-0.0605601529348849,-0.0829860522650447,-0.0605601529348849
-89.9533606234503,-0.0763244828561556,-0.0854648219688832,-0.0763244828561556
-86.4541752949297,-0.0757164221485302,-0.0877623038361328,-0.0757164221485302
-86.7690689838978,-0.0752914776274114,-0.0943877493898082,-0.0752914776274114
-84.9005171112992,-0.0759322575097352,-0.10298714391199,-0.0759322575097352
-84.9975537514589,-0.073676981906198,-0.073676981906198,-0.073676981906198
-82.4148994734332,-0.0421290339518139,-0.0810707519537219,-0.0421290339518139
-87.9380107588184,-0.0928949896692055,-0.0928949896692055,-0.0928949896692055
-83.1496663825533,-0.114828123734938,-0.151893001061192,-0.114828123734938
-87.7337270504312,-0.12863525057984,-0.135451287177188,-0.12863525057984
-84.4630563030958,-0.0726633545852069,-0.0726633545852069,-0.0726633545852069
-87.765845747262,-0.0808042256651262,-0.0808042256651262,-0.0808042256651262
-87.937168077672,-0.0830284786780577,-0.097837338694676,-0.0830284786780577
-88.8582693976963,-0.0682775048229045,-0.105888909440623,-0.0752760504500198
-87.7894428551934,-0.112454781929178,-0.0899365767455009,-0.112454781929178
-85.7307256158703,-0.103104426717219,-0.103104426717219,-0.103104426717219
-87.2861675658893,-0.112404793142705,-0.0900054719643082,-0.112404793142705
-89.4529618883256,-0.0832142578458939,-0.0832142578458939,-0.0832142578458939
-87.4248625151586,-0.0868623250513378,-0.0868623250513378,-0.0868623250513378
-82.8327135276959,-0.090794847110236,-0.0896050723291131,-0.090794847110236
-81.62797476044,-0.109121741973514,-0.0541900010178225,-0.109121741973514
-86.1238983101558,-0.0805076260164741,-0.0979737137595853,-0.0805076260164741
-83.3775758396291,-0.0855439987056474,-0.108530907401398,-0.0855439987056474
-86.1091108143593,-0.0804161932816614,-0.0673538243190146,-0.0804161932816614
-86.6268915615316,-0.0884477668528554,-0.121919539934496,-0.0884477668528554
-86.547865005076,-0.10500025376599,-0.0885968554937371,-0.10500025376599
-87.3875139001902,-0.121530578158617,-0.126777972907242,-0.121530578158617
-86.4918475538848,-0.0485777116367352,-0.0780652257722796,-0.0490876415375228
-86.1784864926625,-0.0681039745201391,-0.108181148405953,-0.0681039745201391
-86.3972291937208,-0.0975212018797844,-0.113574904248976,-0.0975212018797844
-82.8222791240578,-0.040984714849909,-0.0572835645084311,-0.041664026047048
-86.7902443913932,-0.0748353966466979,-0.0748353966466979,-0.0748353966466979
-88.1784102076931,-0.0528629576113717,-0.0510360110734247,-0.0536061494072868
-83.8548303968748,-0.0647880600161272,-0.0647880600161272,-0.0647880600161272
-88.3160210457188,-0.133028556552638,-0.137749021950294,-0.133028556552638
-87.3415971131203,-0.0808766109709538,-0.0916442432838309,-0.0808766109709538
-87.814732903094,-0.0746338549447012,-0.0926487531027593,-0.0632989437190421
-87.8600389271617,-0.0818690582272703,-0.119553238960954,-0.0818690582272703
-88.2391413340984,-0.0755244941473023,-0.0704386422957048,-0.0755244941473023
-89.8583939503649,-0.104977140850977,-0.104977140850977,-0.104977140850977
-85.6060544698793,-0.0960509649438679,-0.0876542441174983,-0.0960509649438679
-84.4930991170994,-0.0808689846630983,-0.0808689846630983,-0.0808689846630983
-87.1897432164946,-0.0738462903661432,-0.0912092804241311,-0.0738462903661432
-83.2747181488244,-0.0844807064835464,-0.106384146085778,-0.0844807064835464
-86.6375412079959,-0.109081600755838,-0.141802685338932,-0.109081600755838
-90.1955993323856,-0.117278432013601,-0.106164415103113,-0.117278432013601
-84.1802398622162,-0.0735121786096977,-0.0735121786096977,-0.0735121786096977
-87.2490839879241,-0.126030806531783,-0.126851573642323,-0.126030806531783
-86.425020682985,-0.0704116617307644,-0.0676547885814376,-0.0704116617307644
-85.5159690481711,-0.0652250750856922,-0.0652250750856922,-0.0652250750856922
-89.4573741000214,-0.102347067480305,-0.102347067480305,-0.102347067480305
