"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.1199,-0.3645,0.1123,0.492,0.985
"r.Malgas.Island",0.0424,-0.191,0.2765,0.809,0.244
"r.Marcus.Island",-0.1783,-0.4185,0.0504,0.332,0.373
"r.Jutten.Island",0.0146,-0.2162,0.2497,0.942,0.406
"r.Vondeling.Island",0.0278,-0.2039,0.263,0.622,0.601
"r.Dassen.Island",0.0284,-0.1979,0.2731,0.113,0.292
"r.Robben.Island",0.0466,-0.1904,0.2867,0.077,0.286
"r.Simonstown",0.131,-0.1144,0.3629,0.674,0.466
"r.Seal.Island.False.Bay",0.101,-0.155,0.3754,0.678,0.534
"r.Stony.Point",0.2622,0.0338,0.5051,0.984,0.707
"r.Dyer.Island",0.0911,-0.1497,0.3252,0.551,0.815
"r.Geyser.Island",-0.0086,-0.2561,0.2288,0.518,0.562
"r.De.Hoop",0.166,-0.0619,0.4064,0.408,0.191
"r.Jahleel.Island",0.0515,-0.1733,0.3017,0.926,0.713
"r.Brenton.Island",-0.1489,-0.3938,0.0899,0.457,0.118
"r.St.Croix.Island",0.0131,-0.2191,0.2526,0.271,0.639
"r.Seal.Island.Algoa.Bay",0.032,-0.2121,0.2581,0.986,0.641
"r.Stag.Island",-0.1293,-0.3591,0.1105,0.734,0.6
"r.Bird.Island",0.1658,-0.0698,0.4,0.09,0.106
"r.Mercury",-0.3554,-0.5793,-0.1136,0.995,0.992
"r.Ichaboe",-0.1049,-0.3467,0.124,0.277,0.252
"r.Halifax",0.1297,-0.1048,0.3642,0.605,0.184
"r.Possession",0.1418,-0.0933,0.373,0.789,0.579
"r.Pomona",-0.0172,-0.2495,0.2319,0.935,0.801
"r.Plumpudding",0.2243,-0.0151,0.4571,0.959,0.94
"r.Sinclair",0.0779,-0.1516,0.3208,0.371,0.585
"sigma.proc",0.5326,0.4904,0.5806,0.648,0.998
