"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.0677,-0.2797,0.1444,0.625,0.119
"r.Malgas.Island",0.0363,-0.171,0.2457,0.124,0.141
"r.Marcus.Island",-0.1663,-0.385,0.0411,0.638,0.907
"r.Jutten.Island",0.0103,-0.1896,0.239,0.907,0.636
"r.Vondeling.Island",0.0386,-0.182,0.2438,0.386,0.902
"r.Dassen.Island",0.0372,-0.1731,0.2517,0.335,0.614
"r.Robben.Island",0.0537,-0.1583,0.2665,0.663,0.544
"r.Simonstown",0.125,-0.0766,0.3397,0.778,0.711
"r.Seal.Island.False.Bay",0.0931,-0.1274,0.3311,0.441,0.57
"r.Stony.Point",0.2392,0.0375,0.4582,0.654,0.69
"r.Dyer.Island",0.0922,-0.1047,0.3149,0.043,0.211
"r.Geyser.Island",-0.0042,-0.2151,0.2118,0.77,0.375
"r.De.Hoop",0.1867,-0.0219,0.4056,0.129,0.162
"r.Jahleel.Island",-8e-04,-0.2094,0.2115,0.411,0.705
"r.Brenton.Island",-0.117,-0.3203,0.0981,0.436,0.061
"r.St.Croix.Island",-0.0015,-0.2136,0.2148,0.466,0.51
"r.Seal.Island.Algoa.Bay",0.0243,-0.1866,0.2393,0.734,0.66
"r.Stag.Island",-0.1074,-0.3186,0.1079,0.839,0.934
"r.Bird.Island",0.0909,-0.1175,0.298,0.044,0.232
"r.Mercury",-0.3008,-0.512,-0.0942,0.331,0.644
"r.Ichaboe",-0.067,-0.2661,0.1514,0.255,0.716
"r.Halifax",0.1504,-0.0551,0.3619,0.377,0.655
"r.Possession",0.1324,-0.075,0.3417,0.129,0.438
"r.Pomona",0.0264,-0.1899,0.2348,0.757,0.587
"r.Plumpudding",0.1764,-0.0355,0.3834,0.124,0.051
"r.Sinclair",0.0759,-0.1349,0.2852,0.55,0.442
"sigma.proc",0.5132,0.4724,0.5515,0.306,0.386
