"pop.change","r.All.yrs","r.1GL","r.2GL"
-84.6371331052181,-0.0881289147833577,-0.0785359679062507,-0.114106250509062
-86.4486524929684,-0.0743224058104559,-0.0708604659630758,-0.0745324561163985
-88.8521054378176,-0.0529224150709293,-0.0786035619626189,-0.0804648738496967
-89.8701516557208,-0.116330426064035,-0.121351453704625,-0.117051016336121
-86.8747767878945,-0.0714369526733645,-0.0490495873304093,-0.0654670615622077
-87.6587901798306,-0.091069820892022,-0.0878973649504369,-0.107848782071557
-88.4947754175158,-0.11353994637931,-0.121311123595102,-0.121311123595102
-86.5724944212575,-0.11268817056744,-0.109848478230991,-0.0917317490896021
-89.0557143344819,-0.0916662281165515,-0.0970797179098879,-0.0845063442152449
-87.6396274847831,-0.0645501687922625,-0.0636167242990231,-0.067518393271115
-86.7214053764962,-0.0619182306800869,-0.0707293578804267,-0.0518631240691354
-87.5265765622736,-0.0747364313906758,-0.0809798946681379,-0.0762439668641717
-89.2216445291317,-0.0956468925033089,-0.10059929579633,-0.0989161904270421
-89.3037981719462,-0.0813071182374543,-0.096279809732251,-0.097291440297627
-87.7070681902658,-0.0580522984278602,-0.0799250101995748,-0.0727121257152508
-86.5391906064811,-0.0881072941780729,-0.0623722033456886,-0.102745259073148
-85.22929851426,-0.0872372346779429,-0.0656624818932974,-0.0777433297814767
-85.3747744692505,-0.0494803114764277,-0.0411396728654747,-0.0468900499800604
-88.2552395200071,-0.113172713380608,-0.117708335709869,-0.115220892646461
-88.1635814848307,-0.0795677150246608,-0.068389882302359,-0.0753156769428935
-84.4397132318171,-0.0983895178802516,-0.0860897967501808,-0.0853459607234264
-87.7005079802959,-0.0963850092738436,-0.112156625983101,-0.0989941520809152
-86.1252368738281,-0.0892702036061017,-0.0641184480744901,-0.0861602753855131
-87.0233289765589,-0.0926410277477405,-0.0993389984686894,-0.0775059559039759
-87.2141619270708,-0.0566636611486135,-0.0561281362625001,-0.0604742552913571
-88.5095276536884,-0.0807781532284473,-0.0876171703333544,-0.0718994146929317
-84.6152657184602,-0.0656564921241802,-0.0598907254129362,-0.0647046757601961
-86.2900027025445,-0.104525292936659,-0.126390286172179,-0.107756280167018
-90.5070625964552,-0.0235894679889714,-0.10030002184185,-0.0356535383025189
-87.5504588698828,-0.0822780041360005,-0.0836181020164348,-0.0748334329724711
-89.3720409612242,-0.0716803925279379,-0.119329156957559,-0.108118734824091
-84.6517354595139,-0.0339591104720096,-0.0706520719882011,-0.0450213876430663
-87.5033591628972,-0.11302350003948,-0.11806422875391,-0.11523194468062
-88.6866028483437,-0.0913811918298464,-0.0849719479760589,-0.0849719479760589
-88.4157671015631,-0.105793928892188,-0.0876356981130231,-0.0934254695605397
-87.047006774404,-0.0812695897777385,-0.0834443605024546,-0.0834443605024546
-84.4764534907007,-0.0713707550562734,-0.0874677638214507,-0.0713676499489582
-87.6261694507657,-0.0661320184305136,-0.0623960056061801,-0.0708496174438356
-89.0894291695703,-0.0775819721677298,-0.140345533595824,-0.0901339323098851
-85.1029363197542,-0.0906471355338319,-0.0857819993025366,-0.0940126368504064
-88.5539337117683,-0.0828480592722904,-0.117921620626798,-0.0864143532373358
-88.4498794592611,-0.0909534160780598,-0.0978645140344465,-0.0978645140344465
-85.5781105081946,-0.085312031888412,-0.0928574675381695,-0.0857268871537569
-88.7796178388235,-0.0738616534599075,-0.0642996594663163,-0.0770751670958836
-87.7071225867944,-0.0667975371854848,-0.0895808930409414,-0.0748765609175734
-87.4759097321595,-0.0588939576905698,-0.106179218132424,-0.0702279084215416
-87.161297251703,-0.0599517333776092,-0.0824397456014259,-0.0703226028221708
-86.6834465450317,-0.0828591179848193,-0.0771360905185654,-0.0854037042347553
-87.1235998031614,-0.0755794300746082,-0.0776119732480502,-0.0776119732480502
-82.9388710894294,-0.12651954581694,-0.0546472985739355,-0.114089277143996
-87.5823058374883,-0.0702321030705999,-0.101080004446489,-0.0759227529113922
