"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Jahleel.Island",0.0352,-0.098,0.1935,0.995,0.144
"r.Brenton.Island",-0.0259,-0.1645,0.1245,0.579,0.886
"r.St.Croix.Island",0.0424,-0.0975,0.1921,0.164,0.243
"r.Seal.Island.Algoa.Bay",0.1161,-0.0277,0.265,0.029,0.005
"r.Stag.Island",-0.0183,-0.1551,0.1362,0.688,0.97
"r.Bird.Island",0.1433,0.0133,0.2987,0.198,0.667
"sigma.proc",0.4623,0.3627,0.5499,0.766,0.715
