"assessment","scenario","name","year","obs","obs.err","hat","lci","uci","lpp","upp","residual","retro.peels"
"Afr_penguin","Namibia","Mercury",1985,2092,0.158679605242718,2034.98441365632,1456.2421922606,2699.08710801824,1246.38728978485,3045.32217477227,0.0276323864743944,0
"Afr_penguin","Namibia","Mercury",1986,1126,0.158679605242718,1215.52322087207,885.33147321266,1605.79924044756,757.243127296423,1817.13704149397,-0.0765030888412088,0
"Afr_penguin","Namibia","Mercury",1987,2181,0.158679605242718,2122.6169717423,1525.04835757225,2834.04055171182,1280.35338957822,3185.49615835376,0.0271337391731405,0
"Afr_penguin","Namibia","Mercury",1989,3394,0.158679605242718,3348.77477278337,2365.42454674996,4406.02423227086,2000.82104479335,5018.68599523949,0.0134146273416995,0
"Afr_penguin","Namibia","Mercury",1990,3552,0.158679605242718,3532.31158447428,2555.59999288606,4705.70395483118,2149.69406599575,5308.10553962163,0.0055583287043266,0
"Afr_penguin","Namibia","Mercury",1992,3576,0.158679605242718,3584.7674462142,2605.96221458944,4800.71071746256,2183.72836119157,5354.3265086685,-0.00244874607676238,0
"Afr_penguin","Namibia","Mercury",1993,3666,0.158679605242718,3543.16493881159,2545.41710227849,4681.37044976088,2150.10209528643,5231.03511898562,0.0340807711851863,0
"Afr_penguin","Namibia","Mercury",1994,2122,0.158679605242718,2204.05482748007,1586.55521286359,2918.29656805842,1336.961552313,3252.89981893426,-0.0379397271415858,0
"Afr_penguin","Namibia","Mercury",1995,2261,0.158679605242718,2259.36349883326,1655.80459585191,3005.11217044485,1401.40805115635,3404.6835352938,0.000724057363376218,0
"Afr_penguin","Namibia","Mercury",1996,2387,0.158679605242718,2397.23118794822,1708.40097736822,3146.83391840687,1476.79434316569,3578.67216381186,-0.0042770523175113,0
"Afr_penguin","Namibia","Mercury",1997,2662,0.158679605242718,2665.52634356548,1912.36787745743,3500.1657411798,1610.29611696173,3892.11048625655,-0.00132382041985935,0
"Afr_penguin","Namibia","Mercury",1998,2884,0.158679605242718,2880.34494115113,2017.92944844492,3759.44910658482,1758.71883678737,4357.51162190087,0.00126816121381701,0
"Afr_penguin","Namibia","Mercury",1999,3041,0.158679605242718,3023.90450840442,2197.69737741204,4020.29236775246,1829.27775620392,4494.60236177791,0.00563752878512425,0
"Afr_penguin","Namibia","Mercury",2000,2822,0.158679605242718,2816.79656654468,2065.33608413024,3743.10640766691,1721.05164406604,4203.48668222104,0.00184558349318031,0
"Afr_penguin","Namibia","Mercury",2001,2615,0.158679605242718,2672.85448968712,1913.27793335321,3550.74431587683,1561.54781269879,3965.39181653874,-0.0218829010788761,0
"Afr_penguin","Namibia","Mercury",2002,3462,0.158679605242718,3359.78935073952,2452.43906321796,4486.00450660836,2088.61895332738,5003.64035508581,0.0299681779764924,0
"Afr_penguin","Namibia","Mercury",2003,2783,0.158679605242718,2772.60293449121,2002.72341064499,3678.20197102498,1668.93032252872,4125.17960586792,0.00374291603250043,0
"Afr_penguin","Namibia","Mercury",2004,2037,0.158679605242718,2096.15788445494,1494.25877105131,2772.40002366119,1268.72141774621,3119.12430981541,-0.0286279529301536,0
"Afr_penguin","Namibia","Mercury",2005,2455,0.158679605242718,2390.91982997102,1729.34959702716,3150.48495629679,1467.16110472849,3568.51075821472,0.0264486032483608,0
"Afr_penguin","Namibia","Mercury",2006,1813,0.158679605242718,1862.40141502094,1358.03018525616,2483.73055679955,1149.11954476182,2773.06513812623,-0.0268838065655599,0
"Afr_penguin","Namibia","Mercury",2007,2026,0.158679605242718,2070.19611659916,1486.20160152113,2737.22884986775,1259.3946949693,3099.51092226789,-0.0215799392814526,0
"Afr_penguin","Namibia","Mercury",2008,3188,0.158679605242718,3059.39242918865,2201.7531291295,4086.06542165838,1825.10937542771,4582.07607128047,0.0411774172305748,0
"Afr_penguin","Namibia","Mercury",2009,2565,0.158679605242718,2631.06962466524,1865.42138699037,3436.81529295511,1578.01017752195,3913.31996969886,-0.0254319862799717,0
"Afr_penguin","Namibia","Mercury",2010,3171,0.158679605242718,3142.92831084257,2291.1446690729,4190.22785845075,1889.5934535317,4682.94347186935,0.00889204715058867,0
"Afr_penguin","Namibia","Mercury",2011,3101,0.158679605242718,3118.67024598117,2258.01618245092,4102.5788292484,1906.5445186318,4567.70303230375,-0.00568206764151391,0
"Afr_penguin","Namibia","Mercury",2012,3319,0.158679605242718,3276.05419979629,2367.61603905374,4341.22295806866,2022.91411435161,4917.27747078151,0.0130238223795107,0
"Afr_penguin","Namibia","Mercury",2013,3056,0.158679605242718,3026.36270315344,2226.18818798812,4050.74423331008,1780.87897416295,4492.4454943071,0.00974540087599074,0
"Afr_penguin","Namibia","Mercury",2014,2448,0.158679605242718,2495.11095094092,1776.36765857601,3282.94118360502,1556.39770245623,3748.68725599385,-0.0190618328796681,0
"Afr_penguin","Namibia","Mercury",2015,2646,0.158679605242718,2632.82829568901,1887.55648165085,3497.89754099832,1602.84674337346,3931.9799786623,0.0049903997284817,0
"Afr_penguin","Namibia","Mercury",2016,2718,0.158679605242718,2711.6301218816,1953.10317786975,3610.11556763315,1687.7744164797,4090.93864616557,0.00234634068905493,0
"Afr_penguin","Namibia","Mercury",2017,2645,0.158679605242718,2640.28326628511,1914.08333130569,3526.14542863133,1641.69380135325,3982.11962790888,0.00178485607276979,0
"Afr_penguin","Namibia","Mercury",2019,2305,0.158679605242718,2268.63817266615,1629.04125169071,3013.60824052399,1372.40397119486,3406.81192773729,0.0159009489172854,0
"Afr_penguin","Namibia","Mercury",2020,1826,0.158679605242718,1647.09904323914,1185.991990171,2184.86255782768,1000.20908492491,2465.14891644867,0.103112197242455,0
"Afr_penguin","Namibia","Mercury",2021,315,0.158679605242718,273.422574978986,198.393508118713,366.426812335157,162.160025304334,407.796186621385,0.141554146697397,0
"Afr_penguin","Namibia","Mercury",2023,0.1,0.158679605242718,0.128403761941223,0.0904667117668107,0.176172658809739,0.0752718574757121,0.192509546327135,-0.25000950344623,0
"Afr_penguin","Namibia","Ichaboe",1979,4200,0.158679605242718,4199.38090459138,2994.65956769008,5564.76754125336,2578.26521856864,6311.44062894384,0.000147414533707035,0
"Afr_penguin","Namibia","Ichaboe",1985,2070,0.158679605242718,1958.18472685049,1400.37073502872,2620.84267295952,1218.82810909189,3002.6719239457,0.0555307229559645,0
"Afr_penguin","Namibia","Ichaboe",1986,739,0.158679605242718,814.812511244834,580.459550350016,1070.52306153717,481.545113398156,1201.75038617378,-0.0976601182753125,0
"Afr_penguin","Namibia","Ichaboe",1987,1372,0.158679605242718,1351.09101714988,971.75556934241,1789.88990378395,826.753272221389,2036.06040537698,0.0153571023877355,0
"Afr_penguin","Namibia","Ichaboe",1989,2427,0.158679605242718,2348.74528367042,1680.58150570284,3116.85412720725,1408.85059911927,3498.55678737834,0.0327746630177934,0
"Afr_penguin","Namibia","Ichaboe",1990,1937,0.158679605242718,1970.68744906033,1421.37363405021,2627.94326459627,1185.56359949846,2948.24498166488,-0.0172420563669107,0
"Afr_penguin","Namibia","Ichaboe",1992,2418,0.158679605242718,2413.58103050289,1746.38275913301,3218.86927680307,1491.9379412131,3648.07558821463,0.00182920278118459,0
"Afr_penguin","Namibia","Ichaboe",1993,2655,0.158679605242718,2648.66878793919,1904.21276665684,3502.13421424773,1567.03606909918,3918.35154040227,0.00238748508676956,0
"Afr_penguin","Namibia","Ichaboe",1994,2736,0.158679605242718,2747.99641405204,2013.7521818433,3698.46840090033,1670.71971754364,4135.6115575459,-0.00437506966883028,0
"Afr_penguin","Namibia","Ichaboe",1995,3343,0.158679605242718,3252.08440055417,2342.00531601701,4300.13324018134,2008.99132951712,4928.68657366895,0.0275724626592382,0
"Afr_penguin","Namibia","Ichaboe",1996,2640,0.158679605242718,2617.90240789466,1897.98236172751,3486.22803308322,1599.59334262143,3910.97395944563,0.00840552771649605,0
"Afr_penguin","Namibia","Ichaboe",1997,1903,0.158679605242718,1918.550589024,1375.22298451489,2538.6540054272,1196.48671218844,2888.13246076606,-0.00813841109401992,0
"Afr_penguin","Namibia","Ichaboe",1998,1562,0.158679605242718,1581.70614835017,1145.24046109918,2107.50446978418,946.135291282906,2369.95106025729,-0.0125370537407168,0
"Afr_penguin","Namibia","Ichaboe",1999,1731,0.158679605242718,1698.55357504191,1240.49970534503,2251.95608988939,1034.98837341414,2551.85677342182,0.0189222255108179,0
"Afr_penguin","Namibia","Ichaboe",2000,1345,0.158679605242718,1405.9118871613,1019.67539106117,1860.48920734122,842.604701482819,2072.12542727046,-0.0442921092110611,0
"Afr_penguin","Namibia","Ichaboe",2001,2260,0.158679605242718,2188.12413828547,1590.96324477296,2884.44209841984,1310.95719208918,3245.49815146165,0.0323201943716045,0
"Afr_penguin","Namibia","Ichaboe",2002,2182,0.158679605242718,2175.74925489028,1547.90511760502,2877.75126117919,1353.41726550868,3302.86560303302,0.00286879718454536,0
"Afr_penguin","Namibia","Ichaboe",2003,2158,0.158679605242718,2055.91360175095,1469.10354742805,2718.31020688078,1260.83632069478,3024.31220116979,0.048461542620668,0
"Afr_penguin","Namibia","Ichaboe",2004,864,0.158679605242718,922.714710171357,672.134776393069,1235.90837471944,552.2896750442,1384.03961317948,-0.0657473281822103,0
"Afr_penguin","Namibia","Ichaboe",2005,1077,0.158679605242718,1039.19631079127,747.584820050167,1371.25280022635,629.237733951446,1533.29868386062,0.0357317618531949,0
"Afr_penguin","Namibia","Ichaboe",2006,715,0.158679605242718,711.884035952639,511.831875901253,942.090627107507,442.384880830279,1074.64944655366,0.00436751539996383,0
"Afr_penguin","Namibia","Ichaboe",2007,418,0.158679605242718,441.094854734555,321.111104513702,589.504569774855,274.351492334659,663.132526972379,-0.0537785098945625,0
"Afr_penguin","Namibia","Ichaboe",2008,604,0.158679605242718,592.034500902283,430.343778343546,788.965235259618,361.811814354484,884.891023981869,0.0200092861977854,0
"Afr_penguin","Namibia","Ichaboe",2009,615,0.158679605242718,613.435600205829,446.084385414921,813.652089713893,376.619306724909,908.441573785582,0.00254698030505018,0
"Afr_penguin","Namibia","Ichaboe",2010,661,0.158679605242718,652.059800262571,481.779341870779,869.303986224992,399.590626974162,973.332475541149,0.0136175639367622,0
"Afr_penguin","Namibia","Ichaboe",2011,576,0.158679605242718,580.316028025672,410.744098818298,759.424467144665,358.062347560838,873.668188965074,-0.00746517035992955,0
"Afr_penguin","Namibia","Ichaboe",2012,551,0.158679605242718,557.642906485309,402.565512044223,735.398444020538,336.771854535875,822.372625497777,-0.011983995836081,0
"Afr_penguin","Namibia","Ichaboe",2013,605,0.158679605242718,605.69212085875,446.570431944094,822.056013002736,366.016276093208,915.793809277498,-0.00114334754843615,0
"Afr_penguin","Namibia","Ichaboe",2014,676,0.158679605242718,659.321191433974,462.922262563771,862.600678688656,404.741765137558,983.539025867156,0.0249822681166263,0
"Afr_penguin","Namibia","Ichaboe",2015,488,0.158679605242718,495.202454243448,351.036081337073,652.926958432471,304.75281842647,736.006052770221,-0.0146512715700782,0
"Afr_penguin","Namibia","Ichaboe",2016,444,0.158679605242718,441.367944471431,320.448921863745,585.234287328793,269.56097832001,661.608440125832,0.00594569364946107,0
"Afr_penguin","Namibia","Ichaboe",2017,346,0.158679605242718,349.606426592595,253.75505949518,465.630963615875,205.48986268877,508.763563411586,-0.0103692512566269,0
"Afr_penguin","Namibia","Ichaboe",2018,317,0.158679605242718,311.982760575619,225.078811370769,412.336979396612,190.628605565383,467.054136427828,0.0159538421597105,0
"Afr_penguin","Namibia","Ichaboe",2019,229,0.158679605242718,230.171455556791,165.306455973668,305.746788502775,142.512402078612,347.072419505419,-0.00510248659501489,0
"Afr_penguin","Namibia","Ichaboe",2020,189,0.158679605242718,183.773268047408,133.850388433449,244.201473836774,111.432117285475,274.54617738642,0.0280442561540202,0
"Afr_penguin","Namibia","Ichaboe",2021,92,0.158679605242718,95.2683544947557,69.165027194304,126.53946872059,58.0140258121828,143.010990302901,-0.034909116501546,0
"Afr_penguin","Namibia","Ichaboe",2022,89,0.158679605242718,80.0883094206478,58.2440288102848,106.090636920599,49.8774251674009,120.965417118345,0.105506476114182,0
"Afr_penguin","Namibia","Ichaboe",2023,13,0.158679605242718,14.5033285815771,10.4842336030161,19.536991279304,8.69763585078235,21.9304525901476,-0.109428822970882,0
"Afr_penguin","Namibia","Halifax",1981,1007,0.158679605242718,990.552829915486,693.070185621287,1317.67995627002,605.978879674319,1509.8091085463,0.016467691388991,0
"Afr_penguin","Namibia","Halifax",1985,334,0.158679605242718,344.198395238347,248.859208634937,460.680821085738,206.106903655071,510.951305554724,-0.0300772284957009,0
"Afr_penguin","Namibia","Halifax",1986,389,0.158679605242718,400.448427402335,287.22603014436,525.592726383556,243.792314075644,596.175989828432,-0.0290056440673334,0
"Afr_penguin","Namibia","Halifax",1987,678,0.158679605242718,662.662938499621,469.909113551908,873.524695602576,400.667615678691,980.087793186687,0.0228808154144202,0
"Afr_penguin","Namibia","Halifax",1990,1050,0.158679605242718,1025.53930019489,722.037519805838,1375.76425891935,612.371942156126,1548.17650288419,0.0235715434140147,0
"Afr_penguin","Namibia","Halifax",1992,690,0.158679605242718,698.851667823565,506.106393999574,938.84585286548,435.715887754426,1064.04952321562,-0.0127469158625777,0
"Afr_penguin","Namibia","Halifax",1993,709,0.158679605242718,705.039512386972,500.397808585344,925.759512100603,415.293648621973,1042.93022115291,0.00560167935140665,0
"Afr_penguin","Namibia","Halifax",1994,681,0.158679605242718,666.159715917563,481.300160952779,882.144954009204,405.399802954804,995.446414587732,0.0220328506697944,0
"Afr_penguin","Namibia","Halifax",1995,473,0.158679605242718,478.634319654341,350.003962874379,630.008749896693,300.142311092711,717.05831479511,-0.0118414928408761,0
"Afr_penguin","Namibia","Halifax",1996,384,0.158679605242718,393.058012888745,281.944128957034,517.571888329336,238.728743544037,590.432235932521,-0.0233146638804298,0
"Afr_penguin","Namibia","Halifax",1997,431,0.158679605242718,428.979301473489,308.924167409149,566.868879939485,261.398451522521,638.458161576354,0.0046994206532629,0
"Afr_penguin","Namibia","Halifax",1998,444,0.158679605242718,445.870811876202,323.842164913927,596.272040481024,275.302403018869,659.871972816678,-0.00420468815803243,0
"Afr_penguin","Namibia","Halifax",1999,497,0.158679605242718,485.678667463892,341.776950905044,639.511797346907,285.739893257384,710.315522924335,0.0230427989285769,0
"Afr_penguin","Namibia","Halifax",2000,370,0.158679605242718,383.288609007934,282.993206849985,512.517048579054,238.629911197829,579.077746037773,-0.0352852480909762,0
"Afr_penguin","Namibia","Halifax",2001,520,0.158679605242718,510.523239578332,365.663787904191,665.75395945759,307.828582799812,755.629056132946,0.018392651836808,0
"Afr_penguin","Namibia","Halifax",2002,508,0.158679605242718,510.669994140423,369.68439012056,678.904910086836,307.006008131932,758.233598617035,-0.00524212997349238,0
"Afr_penguin","Namibia","Halifax",2003,534,0.158679605242718,539.340016265512,389.446694607569,717.059820173745,329.394639695761,802.674971163329,-0.00995036101134517,0
"Afr_penguin","Namibia","Halifax",2004,669,0.158679605242718,656.68976429466,467.134742644842,857.521962308365,391.920303045011,961.177860492154,0.0185723536301152,0
"Afr_penguin","Namibia","Halifax",2005,612,0.158679605242718,614.9929305118,446.843512910387,821.664504568539,358.643750600422,899.029372011366,-0.00487849012535779,0
"Afr_penguin","Namibia","Halifax",2007,567,0.158679605242718,571.819798013053,409.067802651979,764.024862146363,341.435296613392,847.243847183536,-0.00846459957829282,0
"Afr_penguin","Namibia","Halifax",2008,635,0.158679605242718,638.911563224348,459.405769395333,854.079172554591,381.468688002409,955.590849232323,-0.00614104719691699,0
"Afr_penguin","Namibia","Halifax",2009,843,0.158679605242718,829.60588606429,589.662761373728,1084.02629123939,497.291976377805,1230.40635552247,0.0160162060486773,0
"Afr_penguin","Namibia","Halifax",2010,852,0.158679605242718,848.408670792836,608.483810603787,1110.19769092646,532.961820756413,1271.75601844999,0.00422408402029717,0
"Afr_penguin","Namibia","Halifax",2011,771,0.158679605242718,773.151565524314,554.796215284871,1014.8726339694,478.062001387183,1158.74470958869,-0.00278673022098186,0
"Afr_penguin","Namibia","Halifax",2012,747,0.158679605242718,755.345673179874,535.003917708054,1001.02446010541,467.356588416285,1133.19571763742,-0.0111103046083985,0
"Afr_penguin","Namibia","Halifax",2013,849,0.158679605242718,845.347528959353,603.862136660413,1113.25539572648,498.265560097327,1255.53890071442,0.00431136663035225,0
"Afr_penguin","Namibia","Halifax",2014,883,0.158679605242718,890.607026165684,650.349660835178,1187.29030223961,540.652155015561,1340.66098008177,-0.0085780815021117,0
"Afr_penguin","Namibia","Halifax",2015,1092,0.158679605242718,1077.11429918388,779.919239652466,1433.30383599323,669.282656524256,1632.69979555912,0.0137253574036373,0
"Afr_penguin","Namibia","Halifax",2016,1075,0.158679605242718,1097.11098625947,783.399773047658,1444.79486071174,662.540875808853,1620.44617131647,-0.0203596871204565,0
"Afr_penguin","Namibia","Halifax",2017,1466,0.158679605242718,1422.02060707376,1021.82265117182,1875.01548698208,858.627754818592,2100.78013063114,0.0304587805753629,0
"Afr_penguin","Namibia","Halifax",2018,1170,0.158679605242718,1161.32328206842,847.079931539952,1538.52788161779,682.489438952678,1701.45268313742,0.00744363346031829,0
"Afr_penguin","Namibia","Halifax",2019,825,0.158679605242718,835.798644569776,591.282536628423,1096.79757677827,510.68129097928,1250.4102934948,-0.01300434196183,0
"Afr_penguin","Namibia","Halifax",2020,717,0.158679605242718,719.545805680746,520.865998680338,954.443094370751,435.702654734346,1074.19494668503,-0.00354434691298522,0
"Afr_penguin","Namibia","Halifax",2021,665,0.158679605242718,664.363526936073,475.194551981711,877.786985017952,399.225718424702,984.687830799586,0.000957560666685175,0
"Afr_penguin","Namibia","Halifax",2022,583,0.158679605242718,574.846746244107,404.122663898479,753.997122658871,347.47241881896,860.026728488718,0.0140837093492312,0
"Afr_penguin","Namibia","Halifax",2023,399,0.158679605242718,408.815835221799,290.079483271322,540.975042008541,244.233542454279,609.836968425365,-0.0243033571148752,0
"Afr_penguin","Namibia","Possession",1985,735,0.158679605242718,699.694573789659,499.668226126047,932.802899950265,433.859468937905,1048.02348916092,0.0492265825437084,0
