"pop.change","r.All.yrs","r.1GL","r.2GL","r.3GL"
-84.8090473389555,0.00343153864042645,-0.0605805769596031,-0.0201005819013127,-0.0201005819013127
-87.2922799274525,-0.065301098147371,-0.111499298996092,-0.0788789145931168,-0.0717167117934423
-87.2579454428495,-0.0800333676156209,-0.192146331981241,-0.094752233851346,-0.0837574188459107
-82.2172749416778,-0.0418796829975703,-0.0588757531435173,-0.0151075779827448,-0.0151075779827448
-83.4176017970414,-0.0410578564827562,-0.0626745773579409,-0.0285319708939724,-0.0410578564827562
-84.1193082348912,-0.072728487036815,-0.160438405744514,-0.0689555280645178,-0.0689555280645178
-87.9210141777602,-0.0668262115513745,-0.136100597299932,-0.064930743123977,-0.0668262115513745
-86.7568665283263,0.00221803757173156,-0.145168250206208,-0.0606260892912824,-0.0434092769099004
-82.651314964119,-0.039496351704476,-0.12260537801915,-0.0586732060339967,-0.0452644770578239
-83.7788090587387,-0.044409047425277,-0.135963962688487,-0.0508476809753775,-0.0508476809753775
-86.5000315336663,-0.0576997990189794,-0.117880435133636,-0.08096535818758,-0.0701594361539595
-85.9515587178125,-0.104728988566693,-0.138756441984317,-0.104728988566693,-0.104728988566693
-85.5427924692115,-0.0261600291126243,-0.182408786588639,-0.019950905866672,-0.0164135871969329
-85.8875532019064,-0.0496642447121909,-0.150255212655333,-0.0791744564993584,-0.052949210440441
-84.1797045237133,-0.0507746201313033,-0.138032999300421,-0.0567774155626841,-0.0507746201313033
-86.5591492948819,-0.0546489047740479,-0.1286947707209,-0.0109508054505776,-0.047074004636098
-88.5334577755793,-0.0385445642405191,-0.0500794741848027,-0.0327345358843729,-0.041755644355046
-86.3319347373985,-0.0453096927059535,-0.172689568414084,-0.0527393686314248,-0.0563303907046988
-84.7521357766576,-0.0725212852428827,-0.118061451423422,-0.110409691543133,-0.0773478225066611
-85.0168751468622,-0.0540491608591651,-0.14484347834593,-0.0532365905994743,-0.0532365905994743
-83.4046279147205,-0.0271400991662025,-0.0852488834702738,-0.0302125862799389,-0.0302125862799389
-83.3386805772395,-0.0141441479222975,-0.0885444825607138,-0.0427802343832324,-0.0265206555397146
-86.8606992284936,-0.0436270647832613,-0.120209679599045,-0.0403175561570448,-0.0464195451415366
-82.926046195042,-0.00130932387544824,-0.071101402962062,-0.0354784169538465,0.0064696407566931
-81.7553897578019,-0.0137926143199696,-0.0789744165479633,-0.0137926143199696,-0.0411021991162208
