"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Mercury",-0.033,-0.2224,0.149,0.807,0.558
"r.Ichaboe",0.0617,-0.1221,0.2493,0.312,0.127
"r.Halifax",0.1705,-0.017,0.3533,0.635,0.507
"r.Possession",0.1732,-0.0133,0.3586,0.6,0.969
"r.Pomona",0.0703,-0.115,0.2606,0.726,0.533
"r.Plumpudding",0.2047,0.0164,0.3889,0.807,0.22
"r.Sinclair",0.1505,-0.041,0.332,0.51,0.379
"sigma.proc",0.6154,0.5592,0.6762,0.472,0.593
