"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Simonstown",0.3239,0.1783,0.4721,0.661,0.768
"r.Seal.Island.False.Bay",0.1031,-0.0462,0.2656,0.522,0.132
"r.Stony.Point",0.3303,0.1831,0.4799,0.742,0.793
"r.Dyer.Island",0.0444,-0.1029,0.2005,0.095,0.065
"r.Geyser.Island",-0.0645,-0.2128,0.0854,0.414,0.245
"r.De.Hoop",0.2017,0.0495,0.3551,0.91,0.866
"sigma.proc",0.486,0.4213,0.5533,0.643,0.326
