"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.0793,-0.2579,0.1028,0.176,0.377
"r.Malgas.Island",0.0244,-0.1583,0.2016,0.267,0.348
"r.Marcus.Island",-0.1406,-0.3191,0.0455,0.424,0.07
"r.Jutten.Island",0.0187,-0.1576,0.1982,0.794,0.48
"r.Vondeling.Island",0.0748,-0.1031,0.2604,0.613,0.448
"r.Dassen.Island",0.0618,-0.1166,0.2522,0.936,0.261
"r.Robben.Island",0.0856,-0.0951,0.2667,0.709,0.823
"r.Simonstown",0.1489,-0.0234,0.3371,0.471,0.936
"r.Seal.Island.False.Bay",0.0995,-0.1039,0.2956,0.733,0.602
"r.Stony.Point",0.2212,0.0403,0.408,0.432,0.949
"r.Dyer.Island",0.0546,-0.1286,0.2279,0.174,0.103
"r.Geyser.Island",-0.1039,-0.2915,0.072,0.261,0.714
"r.De.Hoop",0.1418,-0.0339,0.3376,0.662,0.893
"r.Jahleel.Island",0.0099,-0.1697,0.1997,0.124,0.182
"r.Brenton.Island",-0.0936,-0.2883,0.0812,0.889,0.461
"r.St.Croix.Island",0.009,-0.1664,0.1962,0.596,0.335
"r.Seal.Island.Algoa.Bay",0.0365,-0.1433,0.2239,0.19,0.717
"r.Stag.Island",-0.0815,-0.2618,0.1031,0.23,0.139
"r.Bird.Island",0.0912,-0.0977,0.2652,0.399,0.335
"r.Mercury",-0.2279,-0.4098,-0.0445,0.197,0.538
"r.Ichaboe",-0.0756,-0.2641,0.1014,0.39,0.714
"r.Halifax",0.1279,-0.057,0.3033,0.702,0.949
"r.Possession",0.1008,-0.0781,0.2813,0.006,0.15
"r.Pomona",0.037,-0.1493,0.2141,0.236,0.325
"r.Plumpudding",0.175,0.0039,0.3644,0.481,0.787
"r.Sinclair",0.0555,-0.13,0.2365,0.564,0.1
"sigma.proc",0.4836,0.4562,0.5232,0.777,0.22
