"pop.change","r.All.yrs","r.1GL","r.2GL","r.3GL"
-87.7783941703042,-0.0502355641282621,-0.0830040655241548,-0.0830040655241548,-0.0698132730403991
-95.5806111375105,0.0202878458160898,-0.192352967456535,-0.0972581393310579,-0.0972581393310579
-81.454245894681,-0.0521505487051508,-0.0824461521867836,-0.0595111968973177,-0.0595111968973177
-76.2448210968549,-0.0112517248746382,-0.0386885651524338,-0.0386885651524338,-0.0386885651524338
-89.0204257684058,-0.0150795659682839,-0.116235297975766,-0.0684097823125307,-0.0920733725618903
-89.1144012645772,0.0163437789227636,-0.0903760623704777,-0.058306869573606,-0.058306869573606
-90.7763995599308,-0.122835313172824,-0.231565934549182,-0.123103227334811,-0.152796924383887
-84.6376787990843,-0.0255296823075533,-0.062907691954714,-0.0394160254381264,-0.0641377383996398
-85.247102031138,-0.0642011791710182,-0.114276149532192,-0.0722528580286048,-0.0648663882948712
-90.7456425077209,-0.097701675882635,-0.158938028073638,-0.123736371182333,-0.132760127564361
-79.013045104646,-0.0394066691104085,-0.0779671183853536,-0.054244813858908,-0.0250632507793078
-91.1791203846391,-0.0763877497874859,-0.139200440811412,-0.104805830528885,-0.104805830528885
-85.8346500275618,-0.0213165718395549,-0.145443335688535,-0.11105358126082,-0.0411312165420448
-91.2902611453424,-0.0590629124782227,-0.0948659543843018,-0.0948659543843018,-0.101139329843007
-90.105235581272,-0.040769567281699,-0.1638127035929,-0.102131029035264,-0.104190995594159
-91.8282587075126,-0.0354623666437925,-0.139490113357352,-0.0624934068578247,-0.0853205590335415
-90.4725574684799,-0.0504216909747308,-0.14972596885819,-0.125464549197391,-0.0504216909747308
-88.049147235751,-0.0384316114303722,-0.133334255966327,-0.0973701253538533,-0.0953347293795082
-85.9889838893027,-0.0228225142491567,-0.139877308901327,-0.139877308901327,-0.047536330891095
-85.628474336557,-0.0672421208843104,-0.0868893457453543,-0.0694323162135739,-0.0694323162135739
-88.3219914848939,-0.0378961498109263,-0.208907688016622,-0.163562747102628,-0.114538870585945
-83.7577280724476,-0.0694230057977814,-0.106442283194844,-0.0915039199317871,-0.0931713099244966
-85.7848961348628,-0.066053907035494,-0.118463959889325,-0.113179663885488,-0.0716711914456969
-92.3098592459138,-0.0432519388325661,-0.121783200454729,-0.0813746620353006,-0.0670744697679124
-88.4452398755007,-0.0186791588188759,-0.0460907336127816,-0.0556055655752754,-0.117623228479284
-88.0203666170884,-0.0496299733826513,-0.159761377288279,-0.0891779416277121,-0.0891779416277121
-87.2692725619989,-0.0377544657248725,-0.164972767162277,-0.0895434741162076,-0.0671281899978107
-88.6857528369111,-0.0429088606073957,-0.102701370840035,-0.0678630455904914,-0.0678630455904914
-92.9642218601835,-0.0264461027211955,-0.106944527298427,-0.0587111174811978,-0.0464639062538321
-88.2462563804199,-0.0371049577436899,-0.143000116787284,-0.0810268915767085,-0.0541124892767701
-90.0680073178714,-0.0917097925055153,-0.0986312483010763,-0.0986312483010763,-0.0986312483010763
-87.6329055693263,0.0106365884244122,-0.109507575916437,-0.0358540015411948,0.0106365884244122
-80.4914008421938,-0.0214523807990377,-0.104966819257968,-0.0847961887655195,-0.0600061048365301
-88.0701158294223,0.00569989373444457,-0.161204032959897,-0.0760627864133774,-0.00244868384041741
-89.2987394962088,0.00601909370619769,-0.083605729904392,-0.0225700799251394,-0.016230699019399
-82.9300128061101,-0.0104813346885333,-0.123471226207667,-0.0882605310299995,-0.0882605310299995
-89.3435836472497,-0.0136341260040087,-0.237814197816958,-0.0717067433843246,-0.0136341260040087
-86.1667607969188,-0.0175028393454575,-0.141149796416627,-0.0608878685095982,-0.0535351353331466
-89.4907527239596,-0.0730570728992692,-0.152796137754349,-0.114049317896209,-0.0960939668889438
-87.9625737376685,0.0080951810527452,-0.214525037667673,-0.126826943351172,-0.123942508722181
-86.8629562940182,-0.0641699133832789,-0.161879126399105,-0.0831108995892293,-0.0782648687994758
-89.7139663418357,-0.0301588565603534,-0.144904752397867,-0.0922207433568261,-0.0740357295088572
-87.8390764663027,-0.0360393512894435,-0.102799143779716,-0.0549787976762666,-0.0526268938576013
-91.9627530828059,-0.0633635066147713,-0.155705738754563,-0.0723157091831155,-0.0864917503248179
-84.3170278424071,-0.0209258950146758,-0.163286965609305,-0.0527094361128517,-0.0527094361128517
-88.6143078430394,-0.114248280040494,-0.188313182169622,-0.170929579144745,-0.132907989735763
-86.1539532822789,-0.0449935127918035,-0.190297209870606,-0.170277179152551,-0.0849844601322998
-93.5942523244262,-0.0600634367659003,-0.188018956320113,-0.114069787661346,-0.114069787661346
-84.7448019577403,-0.0498402527063684,-0.147229139535243,-0.0685940556399065,-0.0810372432147446
-87.6308782375106,-0.0500524333887178,-0.102652923646719,-0.0869932358662937,-0.0550471148494207
-87.1746921013235,-0.0332374077919919,-0.146435961458422,-0.0359771383455465,-0.0332374077919919
-89.7577975692463,-0.0492208989325489,-0.130766562830269,-0.0795776604129492,-0.0992082591300796
-92.9345577025558,-0.0505942696028026,-0.211265753952554,-0.129943838832177,-0.129943838832177
-90.5633369372502,-0.0664339245673231,-0.143688807102133,-0.143688807102133,-0.134313975575952
-85.4640565547123,-0.065498596724602,-0.209757963905476,-0.0521383681928906,-0.0287126194954022
-94.2650824281544,-0.0289693934961432,-0.141478438081419,-0.0983628448342801,-0.0701873735754939
-88.6096634865697,-0.0261296205303383,-0.164247772552404,-0.131134648391253,-0.102936204442299
-89.2497457150513,-0.0181872590064849,-0.109058814380476,-0.0340431403791461,-0.0340431403791461
-88.8499276722094,-0.052698547250988,-0.167034442927631,-0.102445988262022,-0.127903987093926
-92.9369696980114,-0.0682563366616833,-0.157250198597993,-0.094212518460445,-0.094212518460445
-89.673656699619,-0.0344050030653671,-0.151687418474673,-0.0859133131689491,-0.0591245107669254
-83.9383391293637,-0.0556050220056621,-0.190529915953555,-0.130989343514192,-0.110321809860817
-78.9634972722658,-0.0869075743661414,-0.154785298713362,-0.134056757615346,-0.103034792126541
