"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.087,-0.2804,0.1066,0.079,0.284
"r.Malgas.Island",0.0441,-0.1382,0.2447,0.753,0.417
"r.Marcus.Island",-0.128,-0.3243,0.0674,0.185,0.785
"r.Jutten.Island",0.0146,-0.1877,0.2027,0.49,0.501
"r.Vondeling.Island",0.0602,-0.138,0.2456,0.798,0.577
"r.Dassen.Island",0.0663,-0.1284,0.2613,0.235,0.186
"r.Robben.Island",0.0745,-0.121,0.2675,0.664,0.247
"r.Simonstown",0.1319,-0.0566,0.3281,0.486,0.105
"r.Seal.Island.False.Bay",0.0963,-0.1059,0.3204,0.282,0.102
"r.Stony.Point",0.2366,0.0353,0.4214,0.027,0.156
"r.Dyer.Island",0.0754,-0.1174,0.2681,0.603,0.684
"r.Geyser.Island",-0.0221,-0.2185,0.1694,0.36,0.302
"r.De.Hoop",0.1499,-0.0376,0.356,0.569,0.645
"r.Jahleel.Island",0.0163,-0.1627,0.2218,0.7,0.726
"r.Brenton.Island",-0.0967,-0.2934,0.0898,0.624,0.916
"r.St.Croix.Island",0.0091,-0.185,0.2075,0.011,0.186
"r.Seal.Island.Algoa.Bay",0.0384,-0.1536,0.2388,0.168,0.367
"r.Stag.Island",-0.0896,-0.2754,0.1127,0.055,0.588
"r.Bird.Island",0.1267,-0.0596,0.3256,0.511,0.818
"r.Mercury",-0.2559,-0.454,-0.0627,0.299,0.079
"r.Ichaboe",-0.0619,-0.2611,0.1243,0.977,0.413
"r.Halifax",0.1383,-0.055,0.3295,0.844,0.611
"r.Possession",0.113,-0.0729,0.3111,0.058,0.228
"r.Pomona",0.033,-0.1633,0.2252,0.719,0.94
"r.Plumpudding",0.1746,-0.016,0.3679,0.929,0.439
"r.Sinclair",0.0863,-0.1099,0.2794,0.493,0.291
"sigma.proc",0.499,0.4631,0.5392,0.984,0.747
