"pop.change","r.All.yrs","r.1GL","r.2GL","r.3GL"
-79.5667646905375,-0.0642433907469471,-0.0544501256946655,-0.0778731599340157,-0.0642433907469471
-75.8314355899112,-0.0674317712636636,-0.0861935481310869,-0.0989204948131617,-0.0675960281514723
-71.3793668121217,-0.0316413789274614,-0.0604692291317432,-0.0838695838216781,-0.0322176113451356
-75.7809451219674,-0.0428556240270721,-0.0975256217552589,-0.0975256217552589,-0.0662335220795303
-77.30912207312,-0.0681510196003288,-0.0887134835416541,-0.0808122825611921,-0.0706155774968211
-78.9880224206641,-0.0380025609387245,-0.0602280121291443,-0.0602280121291443,-0.0472245974191319
-77.7047124473384,-0.0607149886447012,-0.0898005271670508,-0.0944307059053173,-0.0738843936725315
-75.7505101707558,-0.0753258357843052,-0.104347715754771,-0.108645539264645,-0.0870172422926512
-80.5176369369901,-0.0496286182758006,-0.0956628719610926,-0.0956628719610926,-0.0528098472207539
-84.7012417738766,-0.0680600432090586,-0.0916171629518381,-0.0916171629518381,-0.0680600432090586
-72.3851803838457,-0.0516436864161172,-0.0723846938234267,-0.0905979636379444,-0.0576541715074921
-77.9048172546887,-0.0208077069544155,-0.0703716037051727,-0.0703716037051727,-0.0440127879688097
-67.6503576663029,-0.0546624887445848,-0.0539042745930631,-0.0639607537004316,-0.0539042745930631
-81.2196635801405,-0.0614444126272824,-0.0614444126272824,-0.077880349448372,-0.0614444126272824
-75.5495089785289,-0.0639537302032291,-0.0639537302032291,-0.118835087953214,-0.0639537302032291
-84.0886760601584,-0.0498879613513559,-0.0842702796826362,-0.118364704199517,-0.0554890902475496
-81.2800141227086,-0.0169108869727399,-0.0562028650850257,-0.0936123014538053,-0.0345816288544922
-76.3606341121712,-0.0312089998597278,-0.0474102191639423,-0.0673214203262722,-0.0330232886343573
-70.0816529809779,-0.0576959448217673,-0.11321703426831,-0.0902134216213408,-0.0585547732410596
-80.5395277467147,-0.0657989562545103,-0.000378796690621463,-0.0767208772335977,-0.0657989562545103
-78.9273725660104,-0.043705376006776,-0.0667926462110238,-0.066659023891229,-0.0472950351092445
-76.9408481114877,-0.0647922502110418,-0.0566492621838295,-0.0987598901064084,-0.0730747022636233
-79.5335898483644,-0.0560996468310657,-0.0756456667452357,-0.072388999470169,-0.072388999470169
-73.7520005305608,-0.0468879356668861,-0.09178244266415,-0.09178244266415,-0.0374344530293511
-81.7996053001182,-0.0710157338917217,-0.0618516273944856,-0.10497542578909,-0.0971995684731137
-71.7077966641382,-0.0427109006761874,-0.0924882048303646,-0.0732361652214903,-0.0398753691899856
-70.2952514921685,-0.0919954687077951,-0.0356184221308897,-0.0946958102476199,-0.0686019186788318
-73.7367540904055,-0.0253365646714476,-0.0371674034579899,-0.0583370729897066,-0.0382346439656702
-81.5092473702731,-0.0655749625483528,-0.0655749625483528,-0.0655749625483528,-0.0592122614361932
-79.7660388605427,-0.072387875593785,-0.0779993153310841,-0.104972304613333,-0.0966678170487203
-75.0504381227964,-0.02211432902822,-0.0363900889143576,-0.0633291541866914,-0.0292962847480975
-72.7137170490931,-0.0638553332128451,-0.0698610742668482,-0.0698610742668482,-0.0573726720184382
-82.5603410057549,-0.0462596188225914,-0.124156211115394,-0.0718534343772586,-0.0286381993287241
-80.9759089554138,-0.0675925486957798,-0.0878773958787855,-0.106256039069699,-0.0687744572625855
-81.2555877106638,-0.033553394867825,-0.103112277102971,-0.112552647344362,-0.064223977845228
-81.0204172181248,-0.0635591113495995,-0.0781940628185582,-0.0781940628185582,-0.0568534227613222
-81.5458556367302,-0.0546958297062279,-0.0530339637189057,-0.0870693499289441,-0.0490765926453527
-79.2009395663769,-0.0176131819767766,-0.0367294142246184,-0.0806552908811895,-0.0403757301280185
-80.532673919677,-0.0698388144727096,-0.0708957389296456,-0.0746330684199732,-0.0708957389296456
-77.9325036818511,-0.0875496085990006,-0.0875496085990006,-0.1049964622765,-0.0875496085990006
-78.9612440242289,-0.0360550808302857,-0.0468910365080397,-0.0468910365080397,-0.0386203615158651
-73.7314288549565,-0.034531671466782,-0.0728529648582201,-0.118507866420565,-0.100385444139891
-77.6047106628942,-0.0521102005177356,-0.0650571790861596,-0.0884858986960078,-0.0650571790861596
-77.9548371715636,-0.0201836703012006,-0.0656396435048601,-0.0569641169481523,-0.0294737526935487
-75.0465037378976,-0.0829562317302139,-0.0956822044863337,-0.106103778697382,-0.0956822044863337
-83.4484325879431,-0.050574561378725,-0.101828490025833,-0.0986293248485461,-0.0880282776550176
-86.4951522191728,-0.073955910247113,-0.0774632152304573,-0.0869658690038237,-0.0685294478302634
-71.4254022590267,-0.0292980210245242,-0.05906462233804,-0.0649822114149066,-0.0394262336185989
-69.2881559521218,-0.06310791685776,-0.0449072443801013,-0.0510912006759145,-0.0363702227104303
-84.0839658939314,-0.0759891029289879,-0.122300662063595,-0.107027623828775,-0.0898986249483578
-82.6805750723185,-0.0656669245671946,-0.118688537608003,-0.11649424111143,-0.099259169154843
-77.8877421475997,-0.0614133645528332,-0.0869520471788485,-0.0900773066151812,-0.0808103129505362
-72.5140439174515,-0.0306067345596794,-0.0606375481829025,-0.0736430747113967,-0.055636922052229
-77.3496588974872,-0.0605160544513383,-0.124388341556115,-0.108583346745292,-0.0821129387736548
-73.2065110623533,-0.0140542112407269,-0.0784936343987646,-0.0841494385380441,-0.0613405161308638
-78.8546410516321,-0.051216292724181,-0.0948055413181246,-0.107354029023976,-0.0737607077847295
-74.0239259923413,-0.0373715480061936,-0.0173095539193797,-0.0392976065150457,-0.0373715480061936
-74.5470973428118,-0.0746523313731293,-0.0699351517500579,-0.10055727396427,-0.0642294857438568
-76.4568822956909,-0.0417526488221087,-0.0861681447493297,-0.0861681447493297,-0.0521191084954111
-80.0340552717816,-0.0292830462841014,-0.0745104633130493,-0.0745104633130493,-0.0310107321220379
-80.5693811068227,-0.048569165920024,-0.077188806932738,-0.0879521427997974,-0.0586354337735351
-75.5545749094074,-0.0465561133865897,-0.101637665076958,-0.0789503435984171,-0.052189064026674
-66.4269936741202,-0.0515587219638247,-0.0489791519876857,-0.059554019073377,-0.0515587219638247
-77.1542577304381,-0.0724445200783528,-0.10520046081163,-0.0964973365525852,-0.0652151954039404
-76.7543895128387,-0.0778390503462862,-0.0461878402343565,-0.103486718471443,-0.0461878402343565
-79.0288039745477,-0.0479180743640732,-0.0625140153821011,-0.0737774765600534,-0.0398987600190228
-75.3104608093464,-0.0470873687113658,-0.0710311741792538,-0.063521518050675,-0.039020082058979
-77.0233203737527,-0.0549483215452975,-0.0475397988930979,-0.0626041498073375,-0.0419085404496258
-79.0920310229335,-0.0665034330807766,-0.0715821819218814,-0.0832638230061962,-0.0602002008154905
-78.5925249299483,-0.0515336497987295,-0.0689382965864658,-0.0979403288045688,-0.0892232383081941
-80.5814460081289,-0.0568840172955811,-0.0568840172955811,-0.0568840172955811,-0.0393091536721144
-71.9180834242872,-0.0624279407629924,-0.0785052687008099,-0.103307080446823,-0.0747679554610592
-78.8458193591099,-0.0245466361483526,-0.0601115167134258,-0.0257842962650123,-0.0245466361483526
-81.7244139634645,-0.0468865823326583,-0.0745226726576691,-0.101859859518931,-0.0701082555007391
-78.9572681149313,-0.0386705658684177,-0.0647502977706731,-0.0647502977706731,-0.0426773820076454
-77.1448517403776,-0.0704142017287932,-0.0740040672020843,-0.104218288672245,-0.0720112169388338
-84.0842891709165,-0.0618763552932382,-0.109361722803025,-0.107334884118249,-0.094764496010753
-77.0711246713074,-0.0567373538194929,-0.0508997504861126,-0.0767514015063346,-0.0671824413780975
-80.6196731042185,-0.0486487540841916,-0.0644948903918898,-0.0881752888927849,-0.0757398853877502
-77.7568813774203,-0.0500492666636232,-0.0520175092092412,-0.0613915339514124,-0.0613915339514124
-76.7260053734262,-0.0515571744904912,-0.0759299333482426,-0.076547939313623,-0.0565603798698708
-75.8950607782694,-0.0636200636876669,-0.0752700685830137,-0.0911785534380476,-0.04884546727844
-68.6831775783073,-0.0830158966137953,-0.0703030100105382,-0.0703030100105382,-0.0366730568562739
-75.7687517305374,-0.0665695316221244,-0.0570886195108029,-0.073110713499613,-0.0654954948864788
-77.9337588949278,-0.0529740801696823,-0.0805778166221742,-0.0826986867814608,-0.0529740801696823
-71.9321947833171,-0.0696982381197051,-0.0699135280676568,-0.103761640155997,-0.0564458097377267
-81.7100740438173,-0.0564538362006646,-0.0591899535581994,-0.0612696565861111,-0.056365685898867
-80.3424368389494,-0.0305557244805712,-0.0604902121589568,-0.0692890927064562,-0.0452364731852697
-72.9831841566205,-0.0630686476179179,-0.08362014385352,-0.0891467240801509,-0.0760687807055476
-78.8365520826833,-0.0535028784898346,-0.102583235933362,-0.109327307900648,-0.0816601199744627
-78.7926252425645,-0.0452882992721655,-0.030962040547978,-0.0697177384201941,-0.0697177384201941
-76.6679898014225,-0.000669658208399149,-0.047430870118256,-0.0731728733939354,-0.0242383688068069
-79.3041723960442,-0.0723692781437553,-0.0636866353598977,-0.0962612785129648,-0.0626383064217544
-78.9303381803947,-0.0432343149053072,-0.0982425403602702,-0.0799461759948539,-0.0479843042068593
-80.1472395646208,-0.0515168394428356,-0.0535142332715086,-0.0581236104643574,-0.0515168394428356
-76.9592310862697,-0.0624786512290338,-0.0720591785142766,-0.0720591785142766,-0.0712894330282694
-76.8495875659824,-0.0410763994459948,-0.0881300146262998,-0.0952453477971522,-0.0366224336277519
-68.7088498735544,-0.0590940444274173,-0.0754097089489161,-0.106094447453018,-0.0543625166332129
-82.3538581222063,-0.0645586469016228,-0.062859172496136,-0.093643987661979,-0.0776408179554151
-77.7331197032545,-0.0598815166133431,-0.062512703637009,-0.111340746372847,-0.0675786290146005
-78.6093665491117,-0.0366233765442265,-0.072458923331836,-0.0732314686602011,-0.0522687253151597
-78.1704882317264,-0.0646540595041873,-0.0957472227857048,-0.107740964651825,-0.0763059894244922
-79.2234766500226,-0.0579640256569691,-0.0824386482614878,-0.0824386482614878,-0.0579640256569691
-78.0917502683506,-0.0672489003123813,-0.0765241220760968,-0.0956124428354288,-0.0757298189139535
-78.411089642835,-0.0461415161403043,-0.0643757867430423,-0.0894191857732656,-0.0486814412565719
-78.6600834415024,-0.0268080111076081,-0.115390721942661,-0.0476324683296525,-0.0313261396455111
-75.6329670751565,-0.058592636303449,-0.084695684175645,-0.0931370146470281,-0.0557172120349847
-86.1298986320246,-0.0332882378751957,-0.0534567486858286,-0.0860561460952063,-0.0860561460952063
-79.0080471801415,-0.0444562598045817,-0.0339231633949346,-0.0659856807053281,-0.0444562598045817
-73.7821999968726,-0.0655593916876853,-0.0793566673031716,-0.0793566673031716,-0.0552087754778672
-80.4963816357124,-0.0647085138497623,-0.0940259596561841,-0.0964843360034475,-0.0775207227529355
-73.465132754483,-0.0289416085431533,-0.0592214621638378,-0.109240872543723,-0.0395891173467229
-79.4311803643064,-0.0635289565703046,-0.0574192233946285,-0.0635289565703046,-0.0574192233946285
-79.709875479045,-0.0551562870846309,-0.0792924238051702,-0.0835103797770378,-0.0604997767900235
-68.4512559762742,-0.0422814255719066,-0.0580886882256024,-0.0935988506775853,-0.0476776718458929
-78.9197901637564,-0.0471423213579261,-0.0901654970321086,-0.0901654970321086,-0.0676101795063406
-74.8645060786368,-0.051981903017432,-0.0456738312225502,-0.0543855070071944,-0.0441421830890221
-74.8232980751842,-0.00459755799182471,-0.0787480768779645,-0.0957790229733178,-0.0509089247226067
-77.7040937271264,-0.0431879876792776,-0.0888063653534585,-0.0749243791606302,-0.0431879876792776
-77.7717224684175,-0.0433913715970116,-0.0727940051552283,-0.0727940051552283,-0.0531931314130976
-75.7719229016363,-0.0629151634652771,-0.0706260306761095,-0.0847702389476481,-0.0526396622533962
-74.4578753448163,-0.0643033524719172,-0.0817019674468629,-0.0934904610816503,-0.0611228206231011
-81.2912205602443,-0.0542088031204431,-0.0611958185442258,-0.083814422700903,-0.0653130776472288
-76.4476074811653,-0.043384644105716,-0.0648359011858988,-0.0761827901442169,-0.0486527497391025
-79.0712929562685,-0.0772753481198176,-0.105199414387362,-0.123206595562835,-0.105199414387362
-74.8929143333747,-0.0627806278756031,-0.0493261324448877,-0.0774961720637508,-0.0387897772022558
-84.0861157646833,-0.0375085072002159,-0.0900138643694168,-0.0816936489370175,-0.0426817262399455
-81.5046267472992,-0.0174748826603066,-0.063869710883397,-0.0830355181786313,-0.0509636063517886
-72.8225027290255,-0.063871295778978,-0.0284153510297402,-0.0943477342913033,-0.063871295778978
-83.6676377774009,-0.0949528138703695,-0.078630048015861,-0.0867205287323554,-0.0867205287323554
-76.1079392973977,-0.0513218138919678,-0.0573946476668716,-0.0842347477457963,-0.0513218138919678
-73.4658999011224,-0.0453038799786354,-0.112581454907073,-0.0942054785310162,-0.0439092390480269
-73.7676220915973,-0.0545608366003396,-0.0651068416513203,-0.0690547471974527,-0.0529677991543185
-75.0502819153084,-0.086658415586724,-0.0685230551053033,-0.0984564079234085,-0.0931484315980882
-76.9099683627071,-0.0869492668417582,-0.0791125256684682,-0.0978668371215301,-0.089252758125169
-73.0436874565609,-0.0600163030564254,-0.096596811223276,-0.138088345111901,-0.0600163030564254
-80.3038401381403,-0.0492614419045134,-0.0966883434781254,-0.0900349809170029,-0.0698942907467304
-73.6008033926001,-0.0148015041243408,-0.109399904038058,-0.0656815459876432,-0.0509183274490548
-78.5975428763747,-0.0713566116996285,-0.0911436558314858,-0.0915843198831459,-0.0713566116996285
