"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.0787,-0.311,0.15,0.888,0.836
"r.Malgas.Island",0.0292,-0.1992,0.2603,0.146,0.241
"r.Marcus.Island",-0.159,-0.3958,0.0622,0.18,0.063
"r.Jutten.Island",0.0011,-0.2279,0.2326,0.892,0.116
"r.Vondeling.Island",0.0366,-0.1909,0.2651,0.777,0.259
"r.Dassen.Island",0.025,-0.2087,0.2487,0.465,0.556
"r.Robben.Island",0.0425,-0.182,0.272,0.69,0.738
"r.Simonstown",0.1291,-0.095,0.3494,0.474,0.763
"r.Seal.Island.False.Bay",0.0967,-0.1643,0.3655,0.406,0.886
"r.Stony.Point",0.2511,0.0122,0.473,0.823,0.507
"r.Dyer.Island",0.1003,-0.1186,0.3328,0.144,0.162
"r.Geyser.Island",-0.002,-0.2428,0.2226,0.748,0.304
"r.De.Hoop",0.2,-0.0225,0.4321,0.762,0.644
"r.Jahleel.Island",0.0517,-0.1797,0.2847,0.474,0.597
"r.Brenton.Island",-0.1404,-0.3759,0.0877,0.37,0.111
"r.St.Croix.Island",0.019,-0.2185,0.2478,0.515,0.944
"r.Seal.Island.Algoa.Bay",0.0371,-0.1863,0.2705,0.856,0.411
"r.Stag.Island",-0.1183,-0.3352,0.1249,0.807,0.431
"r.Bird.Island",0.0985,-0.1295,0.3231,0.593,0.164
"r.Mercury",-0.3446,-0.5752,-0.1136,0.409,0.557
"r.Ichaboe",-0.0998,-0.3349,0.1222,0.531,0.117
"r.Halifax",0.1471,-0.0826,0.3745,0.366,0.777
"r.Possession",0.1326,-0.0973,0.3654,0.508,0.733
"r.Pomona",-0.0015,-0.2239,0.2288,0.415,0.601
"r.Plumpudding",0.2219,-0.0149,0.4497,0.812,0.182
"r.Sinclair",0.0745,-0.1424,0.314,0.541,0.788
"sigma.proc",0.5284,0.4888,0.5703,0.018,0.146
