"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.0793,-0.258,0.1048,0.187,0.389
"r.Malgas.Island",0.0246,-0.1527,0.2054,0.39,0.964
"r.Marcus.Island",-0.1412,-0.325,0.0391,0.8,0.652
"r.Jutten.Island",0.0198,-0.1579,0.2033,0.338,0.689
"r.Vondeling.Island",0.0762,-0.0992,0.26,0.481,0.647
"r.Dassen.Island",0.0617,-0.1155,0.2434,0.954,0.843
"r.Robben.Island",0.0893,-0.0926,0.2668,0.178,0.24
"r.Simonstown",0.1465,-0.0404,0.3264,0.338,0.834
"r.Seal.Island.False.Bay",0.1016,-0.0951,0.2967,0.245,0.91
"r.Stony.Point",0.2218,0.044,0.4067,0.215,0.933
"r.Dyer.Island",0.0651,-0.1204,0.2457,0.497,0.799
"r.Geyser.Island",-0.1025,-0.2778,0.081,0.133,0.085
"r.De.Hoop",0.1656,-0.0203,0.3456,0.001,0.074
"r.Jahleel.Island",0.0123,-0.172,0.1944,0.592,0.956
"r.Brenton.Island",-0.0931,-0.2741,0.0967,0.306,0.088
"r.St.Croix.Island",0.0104,-0.1746,0.1982,0.017,0.304
"r.Seal.Island.Algoa.Bay",0.0386,-0.1498,0.2223,0.765,0.991
"r.Stag.Island",-0.0821,-0.2742,0.1,0.752,0.973
"r.Bird.Island",0.0922,-0.0887,0.275,0.133,0.372
"r.Mercury",-0.228,-0.4075,-0.0409,0.889,0.639
"r.Ichaboe",-0.0741,-0.2467,0.1174,0.95,0.419
"r.Halifax",0.1253,-0.0556,0.3126,0.353,0.609
"r.Possession",0.1018,-0.0778,0.2797,0.853,0.312
"r.Pomona",0.0378,-0.1458,0.2162,0.821,0.879
"r.Plumpudding",0.1752,-0.0027,0.355,0.231,0.364
"r.Sinclair",0.0552,-0.1291,0.24,0.795,0.312
"sigma.proc",0.4853,0.4551,0.5232,0.153,0.117
