"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.074,-0.2536,0.1199,0.742,0.676
"r.Malgas.Island",0.0302,-0.1595,0.2183,0.883,0.761
"r.Marcus.Island",-0.1323,-0.3142,0.0551,0.493,0.703
"r.Jutten.Island",0.0232,-0.1608,0.2117,0.513,0.298
"r.Vondeling.Island",0.0711,-0.1165,0.2662,0.544,0.821
"r.Dassen.Island",0.0705,-0.1283,0.2508,0.384,0.408
"r.Robben.Island",0.0797,-0.1191,0.2598,0.227,0.415
"r.Simonstown",0.1463,-0.0363,0.3393,0.509,0.638
"r.Seal.Island.False.Bay",0.0917,-0.1203,0.2936,0.604,0.359
"r.Stony.Point",0.2303,0.0436,0.4206,0.774,0.825
"r.Dyer.Island",0.0739,-0.1163,0.2658,0.626,0.259
"r.Geyser.Island",-0.0972,-0.2964,0.0801,0.287,0.716
"r.De.Hoop",0.1724,-0.0091,0.3724,0.936,0.392
"r.Jahleel.Island",0.0123,-0.1771,0.204,0.367,0.576
"r.Brenton.Island",-0.0953,-0.285,0.0905,0.756,0.913
"r.St.Croix.Island",0.0089,-0.1876,0.1941,0.744,0.728
"r.Seal.Island.Algoa.Bay",0.0373,-0.1453,0.2317,0.414,0.181
"r.Stag.Island",-0.0862,-0.2651,0.1156,0.323,0.366
"r.Bird.Island",0.1233,-0.0684,0.3115,0.451,0.523
"r.Mercury",-0.2384,-0.4223,-0.0467,0.512,0.629
"r.Ichaboe",-0.0656,-0.2476,0.1241,0.484,0.992
"r.Halifax",0.1394,-0.0485,0.3311,0.639,0.391
"r.Possession",0.1127,-0.0759,0.3,0.565,0.745
"r.Pomona",0.0383,-0.1548,0.2257,0.175,0.655
"r.Plumpudding",0.1685,-0.0187,0.3611,0.213,0.644
"r.Sinclair",0.0858,-0.1067,0.2753,0.482,0.601
"sigma.proc",0.4939,0.4617,0.5305,0.758,0.567
