"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.0707,-0.2802,0.1424,0.607,0.142
"r.Malgas.Island",0.0358,-0.1644,0.2509,0.546,0.516
"r.Marcus.Island",-0.1713,-0.3679,0.0495,0.703,0.621
"r.Jutten.Island",0.0069,-0.204,0.2184,0.233,0.225
"r.Vondeling.Island",0.0371,-0.182,0.2447,0.003,0.234
"r.Dassen.Island",0.0349,-0.1742,0.2463,0.085,0.766
"r.Robben.Island",0.052,-0.1642,0.2587,0.741,0.501
"r.Simonstown",0.1245,-0.0838,0.3389,0.641,0.867
"r.Seal.Island.False.Bay",0.0921,-0.1384,0.3273,0.071,0.182
"r.Stony.Point",0.2325,0.0131,0.4357,0.056,0.458
"r.Dyer.Island",0.081,-0.1236,0.2946,0.197,0.401
"r.Geyser.Island",-0.0063,-0.2169,0.2077,0.207,0.383
"r.De.Hoop",0.1569,-0.0539,0.3674,0.673,0.762
"r.Jahleel.Island",-0.0027,-0.2051,0.2057,0.926,0.747
"r.Brenton.Island",-0.1213,-0.3367,0.0875,0.508,0.498
"r.St.Croix.Island",-0.0037,-0.2175,0.2002,0.946,0.858
"r.Seal.Island.Algoa.Bay",0.0217,-0.1921,0.2285,0.345,0.529
"r.Stag.Island",-0.1082,-0.3064,0.1071,0.823,0.782
"r.Bird.Island",0.0899,-0.1212,0.299,0.863,0.864
"r.Mercury",-0.3034,-0.5185,-0.0945,0.423,0.86
"r.Ichaboe",-0.071,-0.276,0.1342,0.035,0.415
"r.Halifax",0.1333,-0.0756,0.3434,0.616,0.911
"r.Possession",0.1336,-0.0622,0.3615,0.964,0.578
"r.Pomona",0.0254,-0.1858,0.2374,0.356,0.066
"r.Plumpudding",0.1742,-0.0373,0.3813,0.724,0.78
"r.Sinclair",0.0743,-0.1407,0.2842,0.708,0.222
"sigma.proc",0.5072,0.4712,0.5491,0.449,0.831
