"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.1242,-0.3655,0.1017,0.833,0.27
"r.Malgas.Island",0.0365,-0.1968,0.2567,0.931,0.756
"r.Marcus.Island",-0.1896,-0.4149,0.0423,0.644,0.686
"r.Jutten.Island",0.0074,-0.2217,0.2369,0.906,0.637
"r.Vondeling.Island",0.0262,-0.2089,0.2517,0.341,0.472
"r.Dassen.Island",0.0203,-0.212,0.2491,0.528,0.936
"r.Robben.Island",0.0418,-0.1829,0.2791,0.581,0.85
"r.Simonstown",0.1258,-0.1049,0.3606,0.436,0.694
"r.Seal.Island.False.Bay",0.0942,-0.165,0.3522,0.87,0.158
"r.Stony.Point",0.254,0.0193,0.483,0.175,0.073
"r.Dyer.Island",0.0979,-0.1249,0.3368,0.231,0.661
"r.Geyser.Island",-0.0147,-0.2526,0.2155,0.773,0.217
"r.De.Hoop",0.1978,-0.0357,0.4241,0.722,0.793
"r.Jahleel.Island",0.0457,-0.1761,0.2919,0.168,0.104
"r.Brenton.Island",-0.1542,-0.3748,0.0916,0.166,0.445
"r.St.Croix.Island",0.0148,-0.2169,0.2413,0.439,0.091
"r.Seal.Island.Algoa.Bay",0.0261,-0.2008,0.2599,0.031,0.083
"r.Stag.Island",-0.1356,-0.3741,0.0923,0.085,0.18
"r.Bird.Island",0.1637,-0.0549,0.3955,0.513,0.699
"r.Mercury",-0.3601,-0.5932,-0.131,0.055,0.114
"r.Ichaboe",-0.1113,-0.3469,0.1161,0.939,0.856
"r.Halifax",0.145,-0.0948,0.3622,0.334,0.827
"r.Possession",0.1382,-0.0898,0.3619,0.388,0.652
"r.Pomona",-0.0173,-0.2529,0.2232,0.947,0.784
"r.Plumpudding",0.22,-0.0089,0.4558,0.387,0.542
"r.Sinclair",0.0688,-0.1581,0.3063,0.956,1
"sigma.proc",0.5226,0.4829,0.5594,0.864,0.469
