"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.0813,-0.3034,0.146,0.525,0.128
"r.Malgas.Island",0.0265,-0.1941,0.2576,0.044,0.596
"r.Marcus.Island",-0.1629,-0.3974,0.0511,0.36,0.384
"r.Jutten.Island",-0.0011,-0.2239,0.2282,0.249,0.803
"r.Vondeling.Island",0.0388,-0.1765,0.2733,0.876,0.322
"r.Dassen.Island",0.0202,-0.2033,0.2438,0.02,0.058
"r.Robben.Island",0.0389,-0.1699,0.2803,0.68,0.931
"r.Simonstown",0.1271,-0.0956,0.3502,0.813,0.899
"r.Seal.Island.False.Bay",0.0938,-0.1727,0.3405,0.287,0.524
"r.Stony.Point",0.2495,0.029,0.4849,0.265,0.791
"r.Dyer.Island",0.0839,-0.1511,0.3012,0.255,0.436
"r.Geyser.Island",-0.0107,-0.237,0.2236,0.833,0.85
"r.De.Hoop",0.165,-0.0622,0.3914,0.884,0.155
"r.Jahleel.Island",0.0522,-0.1838,0.2737,0.083,0.323
"r.Brenton.Island",-0.1438,-0.3681,0.0908,0.715,0.061
"r.St.Croix.Island",0.0115,-0.2029,0.2512,0.083,0.474
"r.Seal.Island.Algoa.Bay",0.0328,-0.1927,0.2603,0.231,0.809
"r.Stag.Island",-0.1216,-0.3499,0.1005,0.898,0.795
"r.Bird.Island",0.0945,-0.1272,0.3221,0.1,0.088
"r.Mercury",-0.3481,-0.5749,-0.1265,0.088,0.059
"r.Ichaboe",-0.1004,-0.3206,0.1199,0.713,0.083
"r.Halifax",0.1416,-0.0736,0.3771,0.479,0.919
"r.Possession",0.1318,-0.0947,0.3545,0.68,0.997
"r.Pomona",-0.0053,-0.2363,0.2079,0.828,0.919
"r.Plumpudding",0.2204,-0.011,0.4409,0.064,0.381
"r.Sinclair",0.072,-0.1691,0.2922,0.995,0.821
"sigma.proc",0.5216,0.4859,0.5634,0.064,0.092
