"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.0863,-0.2837,0.1012,0.45,0.416
"r.Malgas.Island",0.0431,-0.1419,0.2419,0.859,0.827
"r.Marcus.Island",-0.1329,-0.3228,0.0683,0.231,0.476
"r.Jutten.Island",0.0146,-0.1863,0.2007,0.644,0.951
"r.Vondeling.Island",0.0616,-0.1319,0.2527,0.172,0.255
"r.Dassen.Island",0.066,-0.1218,0.2612,0.302,0.774
"r.Robben.Island",0.0734,-0.1221,0.2611,0.926,0.75
"r.Simonstown",0.1307,-0.0621,0.3208,0.139,0.085
"r.Seal.Island.False.Bay",0.0962,-0.1134,0.3098,0.835,0.934
"r.Stony.Point",0.2346,0.0336,0.4282,0.917,0.79
"r.Dyer.Island",0.0725,-0.117,0.2679,0.711,0.915
"r.Geyser.Island",-0.0265,-0.2224,0.1642,0.344,0.348
"r.De.Hoop",0.1482,-0.0446,0.3484,0.103,0.677
"r.Jahleel.Island",0.014,-0.1771,0.2073,0.303,0.61
"r.Brenton.Island",-0.1,-0.2936,0.0866,0.749,0.743
"r.St.Croix.Island",0.0085,-0.1814,0.2066,0.253,0.312
"r.Seal.Island.Algoa.Bay",0.038,-0.1567,0.2336,0.949,0.931
"r.Stag.Island",-0.091,-0.2898,0.1038,0.979,0.831
"r.Bird.Island",0.1225,-0.0754,0.311,0.922,0.577
"r.Mercury",-0.258,-0.4462,-0.0576,0.243,0.628
"r.Ichaboe",-0.0631,-0.2506,0.1276,0.392,0.606
"r.Halifax",0.1213,-0.0665,0.3226,0.016,0.437
"r.Possession",0.11,-0.0781,0.3082,0.549,0.849
"r.Pomona",0.0344,-0.1601,0.2271,0.165,0.794
"r.Plumpudding",0.1766,-0.0213,0.3713,0.902,0.215
"r.Sinclair",0.0831,-0.1161,0.2784,0.04,0.221
"sigma.proc",0.4975,0.462,0.5293,0.812,0.374
