"pop.change","r.All.yrs","r.1GL","r.2GL"
-84.4246608138755,-0.0845950698251867,-0.098363069295921,-0.0916480676457265
-83.6887921439718,-0.0588470704119874,-0.0765169331864231,-0.0765169331864231
-77.4940985898149,-0.0775185185860803,-0.093195949509961,-0.0907392741515052
-74.813628787618,-0.0817291456923765,-0.0948088770207178,-0.0907954403474474
-77.6437471970235,-0.0598408759602727,-0.0941176749630781,-0.0848654638913358
-83.754565477829,-0.0947491533701532,-0.100827231670756,-0.100827231670756
-86.0546626444666,-0.116355730848515,-0.111374317387043,-0.116355730848515
-82.3433030368447,-0.0225755031021189,-0.102256731631194,-0.0457695766354878
-85.824209328892,-0.0788677202398764,-0.109304859030186,-0.10557517487844
-80.9808320661845,-0.0770331665953483,-0.0855176514551568,-0.0957627564851604
-80.4172341487458,-0.0351250922666919,-0.0351250922666919,-0.0569211503039559
-81.0302466676556,-0.0562438872167021,-0.0908232919724927,-0.0921116610544495
-83.5808451553395,-0.0208653058738868,-0.128554359863359,-0.0805719324351832
-81.5981259804134,-0.0796063454281777,-0.0806804121356866,-0.0806804121356866
-80.2029864940023,-0.042959789941496,-0.0833690122532111,-0.082774953111115
-79.7888111592844,-0.0754497298097743,-0.109359640598914,-0.106199678577246
-79.6516681929489,-0.0459046347573073,-0.11099169444162,-0.0789005327586674
-83.9227614713192,-0.0540574222801631,-0.0936988815871453,-0.0648118966181563
-77.0471496780599,-0.0607543207425554,-0.0744414172442829,-0.0687745174210335
-82.2379160076844,-0.0658136659280721,-0.072937827313444,-0.0840660512051219
-82.3482418130956,-0.0424003305171201,-0.102879633085629,-0.0707849356068708
-85.1480466594762,-0.0587044893442226,-0.0962472532338303,-0.0826045270418385
-78.7931580553875,-0.0722140970027905,-0.0928452970983953,-0.0956229109665827
-80.2339037454082,-0.00575467713216149,-0.0786744947272231,-0.0786744947272231
-85.1096214396038,-0.0802626671404028,-0.0943259731734702,-0.0802626671404028
-78.343367219861,-0.0683485204703826,-0.109117544417639,-0.0954407682909295
-84.8166533906605,-0.0577972936081679,-0.0730963157685292,-0.0773228281957516
-78.0619148815963,-0.0628458596510031,-0.0800807838586701,-0.104437634203487
-85.005916844551,-0.0772889002020936,-0.0861997191921962,-0.0772889002020936
-74.3081585330591,-0.0219132053701649,-0.0606896720776531,-0.042422879764155
-81.6860226390707,-0.0574062962543591,-0.0804566660422044,-0.0804566660422044
-78.06855147333,-0.084872765171875,-0.116282209451504,-0.0951359517803789
-80.118043745024,-0.0493059696810283,-0.0631242737087874,-0.0823016764163427
-77.7745598396771,-0.0414558154476259,-0.0504254974950404,-0.062378527191675
-83.2526122719315,-0.0680476479427243,-0.119014937837016,-0.0877555823192635
-80.156776294374,-0.0496198728015429,-0.05967287843752,-0.0686123955205176
-81.1320821827059,-0.0614895041162065,-0.0662147989675237,-0.0622252664645515
-81.8873675742457,-0.0653536113122239,-0.106500465826731,-0.0863300519181101
-81.1818977268111,-0.0489903130193765,-0.102875138422997,-0.0922740506446482
-77.5496659033729,-0.0447196501460301,-0.105257822820296,-0.0867558407896141
-74.8226789343912,-0.0737623744038434,-0.0941541302855562,-0.0853750924242531
-86.3154741195581,-0.0741850982033494,-0.0869760958379047,-0.0869760958379047
-82.3440014355861,-0.0819745939387353,-0.0900692638075249,-0.098185792494081
-86.0295626742383,-0.0742969791165926,-0.0864112920853826,-0.0864112920853826
-82.5540087385952,-0.0683698651847404,-0.128986372052577,-0.0890605102723061
-82.6040319629118,-0.0699108102595227,-0.0800209831755829,-0.0828836127399759
-81.4813495556006,-0.0986954652198735,-0.108337533635229,-0.108337533635229
-82.0973693957132,-0.0554692248269593,-0.0882244872754541,-0.0792435152250208
-79.9438043659999,-0.0540589800874018,-0.0617711654270074,-0.0540589800874018
-80.6365778167746,-0.0598601242901626,-0.0871873576851696,-0.0749421949340991
-77.9573046049376,-0.0548627233247148,-0.116972897701641,-0.0642631018303081
-80.2714258827391,-0.0945799663930753,-0.104366718901757,-0.0958704181487455
-82.5825629950503,-0.0764870622640013,-0.0607803450249929,-0.0799435744927965
-80.5999485795513,-0.033321338398439,-0.104190870472215,-0.0982958147505828
-76.8641700989716,-0.0254352107360249,-0.100085107116858,-0.0874241894422667
-80.880394673819,-0.0309535800164378,-0.106884637455571,-0.0657830127891614
-82.32903633711,-0.0209821485473327,-0.0519625709188176,-0.0646181595357165
-82.0613666968508,-0.0744600129590394,-0.0944427020884566,-0.0802776786790993
-80.2739176128936,-0.0424598767827415,-0.11285719911795,-0.0878537030219491
-81.0322791157163,-0.0612764369362067,-0.108690200230862,-0.0749683389393576
-77.8018609007375,-0.0614221685746541,-0.0815103511108806,-0.0815103511108806
-85.381349137841,-0.0573914547145122,-0.0676013398011062,-0.0807372597017215
