"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Simonstown",0.3272,0.1789,0.4797,0.509,0.853
"r.Seal.Island.False.Bay",0.1055,-0.0517,0.2623,0.266,0.459
"r.Stony.Point",0.3343,0.1856,0.4859,0.929,0.28
"r.Dyer.Island",0.0431,-0.1063,0.1909,0.166,0.259
"r.Geyser.Island",-0.0629,-0.2087,0.0845,0.03,0.179
"r.De.Hoop",0.1903,0.0363,0.3352,0.894,0.54
"sigma.proc",0.4927,0.4478,0.5412,0.471,0.583
