"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.0658,-0.1894,0.0471,0.432,0.475
"r.Malgas.Island",-0.0433,-0.1609,0.0715,0.231,0.778
"r.Marcus.Island",-0.1369,-0.2523,-0.0219,0.138,0.274
"r.Jutten.Island",-0.0129,-0.1303,0.1061,0.421,0.972
"r.Vondeling.Island",0.0313,-0.0866,0.1437,0.426,0.635
"r.Dassen.Island",0.0354,-0.0781,0.1525,0.025,0.226
"r.Robben.Island",0.2813,0.1741,0.4064,0.245,0.369
"sigma.proc",0.3898,0.3546,0.4255,0.348,0.896
