"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.0642,-0.2333,0.124,0.913,0.501
"r.Malgas.Island",0.022,-0.1625,0.1944,0.596,0.621
"r.Marcus.Island",-0.1447,-0.3256,0.0261,0.706,0.848
"r.Jutten.Island",0.0068,-0.1602,0.1868,0.333,0.759
"r.Vondeling.Island",0.0813,-0.0918,0.2592,0.304,0.405
"r.Dassen.Island",0.063,-0.1031,0.2425,0.603,0.159
"r.Robben.Island",0.0761,-0.086,0.2586,0.664,0.609
"r.Simonstown",0.1439,-0.0292,0.3189,0.234,0.543
"r.Seal.Island.False.Bay",0.0978,-0.0868,0.2927,0.51,0.325
"r.Stony.Point",0.2312,0.0564,0.4028,0.394,0.638
"r.Dyer.Island",0.0515,-0.1244,0.2233,0.134,0.052
"r.Geyser.Island",-0.1026,-0.2759,0.0772,0.454,0.233
"r.De.Hoop",0.1351,-0.0338,0.3158,0.183,0.013
"r.Jahleel.Island",0.012,-0.169,0.1844,0.008,0.087
"r.Brenton.Island",-0.0888,-0.2621,0.0892,0.905,0.548
"r.St.Croix.Island",0.0101,-0.1678,0.1908,0.697,0.198
"r.Seal.Island.Algoa.Bay",0.0367,-0.1407,0.2102,0.237,0.74
"r.Stag.Island",-0.0784,-0.2611,0.0939,0.415,0.812
"r.Bird.Island",0.0879,-0.0887,0.2661,0.748,0.108
"r.Mercury",-0.2171,-0.3929,-0.0505,0.303,0.717
"r.Ichaboe",-0.0637,-0.2354,0.1116,0.554,0.916
"r.Halifax",0.1095,-0.0643,0.2863,0.555,0.736
"r.Possession",0.1039,-0.0748,0.2791,0.533,0.647
"r.Pomona",0.0356,-0.1524,0.2063,0.14,0.071
"r.Plumpudding",0.1725,-0.0038,0.3478,0.957,0.667
"r.Sinclair",0.0538,-0.1283,0.2304,0.452,0.369
"sigma.proc",0.4786,0.4505,0.5107,0.625,0.661
