"assessment","scenario","name","year","obs","obs.err","hat","lci","uci","lpp","upp","residual","retro.peels"
"Afr_penguin",5,"Simonstown",2019,932,0.156009148949282,952.537818300531,710.057374975652,1251.66165752547,590.84608909895,1413.29175397478,-0.0217969957795976,0
"Afr_penguin",5,"Simonstown",2020,1137,0.156009148949282,1105.26507745525,805.130066817149,1437.408436223,691.30520174416,1623.60425433774,0.0283080194676995,0
"Afr_penguin",5,"Simonstown",2021,975,0.156009148949282,976.874422417181,718.636556068652,1273.72608824531,613.685315234792,1436.33748468707,-0.00192063892211447,0
"Afr_penguin",5,"Simonstown",2022,891,0.156009148949282,893.541430661497,663.458960191741,1170.81528887433,556.170912064734,1310.84208498199,-0.00284827500889584,0
"Afr_penguin",5,"Simonstown",2023,845,0.156009148949282,849.087030208185,617.743638425059,1126.31030025274,535.395866744026,1272.27976200509,-0.00482506277961114,0
"Afr_penguin",5,"Seal.Island.False.Bay",1998,79,0.156009148949282,79.3805505084054,58.133472452203,106.113400657059,50.7720614718808,119.44966545189,-0.00480552996595929,0
"Afr_penguin",5,"Seal.Island.False.Bay",2004,84,0.156009148949282,83.0378031675495,61.9490761003904,111.07813666526,51.6204137275595,122.550808016651,0.0115208348870759,0
"Afr_penguin",5,"Seal.Island.False.Bay",2005,76,0.156009148949282,74.309647613348,54.112606166614,95.9857356157265,45.3799200558814,108.299685857588,0.0224925502443591,0
"Afr_penguin",5,"Seal.Island.False.Bay",2006,48,0.156009148949282,51.9583628130167,37.9373294833317,67.4705605208419,31.8507794587524,75.4702155633458,-0.0792416717956512,0
"Afr_penguin",5,"Seal.Island.False.Bay",2007,83,0.156009148949282,77.5897883840083,56.9654368478597,100.463865116501,49.2373420928345,114.671383950406,0.0674047822561255,0
"Afr_penguin",5,"Seal.Island.False.Bay",2008,60,0.156009148949282,60.40431514905,43.9767775013988,79.4167777910437,37.2228731177666,88.9029890817251,-0.00671598303181575,0
"Afr_penguin",5,"Seal.Island.False.Bay",2012,31,0.156009148949282,32.8001815924271,23.9577170005801,43.02341839525,20.4493253798532,49.1937913776015,-0.0564468472441115,0
"Afr_penguin",5,"Seal.Island.False.Bay",2013,52,0.156009148949282,50.2427797913954,36.767923578123,65.5242060015026,30.707910692118,73.0751517873178,0.0343768677094021,0
"Afr_penguin",5,"Seal.Island.False.Bay",2014,58,0.156009148949282,55.9256695337066,40.8195871284947,72.9662866072367,34.8150225322635,82.1402079595177,0.0364195312489244,0
"Afr_penguin",5,"Seal.Island.False.Bay",2015,43,0.156009148949282,43.7813484292726,32.5554475222433,57.0569400464295,27.5625342891193,64.4950611712298,-0.0180077760472748,0
"Afr_penguin",5,"Seal.Island.False.Bay",2016,41,0.156009148949282,41.462776280895,30.3999070063199,54.4556595830925,26.4027443596631,62.1787765824429,-0.011224000938765,0
"Afr_penguin",5,"Seal.Island.False.Bay",2019,44,0.156009148949282,43.8715631512428,31.2699195325332,57.8598023464498,26.4590663665308,65.1669161579982,0.00292328793560648,0
"Afr_penguin",5,"Stony.Point",1998,72,0.156009148949282,72.5205876770892,53.3542056444066,95.5160928105049,45.7655957129806,107.450433778335,-0.00720437049315503,0
"Afr_penguin",5,"Stony.Point",2000,104,0.156009148949282,103.04834196381,76.119924984183,136.140181816765,62.4171494062902,151.491519735617,0.00919268156258557,0
"Afr_penguin",5,"Stony.Point",2001,111,0.156009148949282,110.579563314568,82.1999925845271,146.492812914417,68.6320384781234,162.925599503544,0.00379490945567262,0
"Afr_penguin",5,"Stony.Point",2003,123,0.156009148949282,120.741411590912,88.4418483949921,158.051719916097,74.7272012638174,177.242412926707,0.0185331909103761,0
"Afr_penguin",5,"Stony.Point",2004,98,0.156009148949282,105.012537477422,78.0514979696896,136.12203420163,64.3670521656586,153.667235906307,-0.069112268905676,0
"Afr_penguin",5,"Stony.Point",2005,186,0.156009148949282,181.84398559933,133.76997633956,236.607019507908,110.75716383567,264.320065802313,0.0225975762429789,0
"Afr_penguin",5,"Stony.Point",2006,265,0.156009148949282,256.537812619321,187.984897516814,331.187523763423,159.391532375567,373.028621720182,0.0324537546211205,0
"Afr_penguin",5,"Stony.Point",2007,260,0.156009148949282,264.407054092135,197.081692601624,348.637286845065,168.723435235855,393.112005931283,-0.0168081562284046,0
"Afr_penguin",5,"Stony.Point",2008,310,0.156009148949282,317.159089666275,233.924566181095,416.140392254619,192.532522482579,466.203378289437,-0.0228312106543793,0
"Afr_penguin",5,"Stony.Point",2009,487,0.156009148949282,471.356023961905,350.365037009492,618.497617754869,290.005906368026,690.055827857075,0.0326504250910489,0
