"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.0965,-0.2911,0.0984,0.612,0.687
"r.Malgas.Island",0.0253,-0.1755,0.2166,0.235,0.765
"r.Marcus.Island",-0.1595,-0.3487,0.0385,0.436,0.313
"r.Jutten.Island",0.008,-0.1782,0.2044,0.151,0.424
"r.Vondeling.Island",0.0867,-0.1142,0.2812,0.134,0.101
"r.Dassen.Island",0.0532,-0.1342,0.2635,0.345,0.986
"r.Robben.Island",0.0693,-0.134,0.2591,0.377,0.513
"r.Simonstown",0.138,-0.0587,0.3321,0.665,0.467
"r.Seal.Island.False.Bay",0.0936,-0.1203,0.3044,0.399,0.896
"r.Stony.Point",0.2355,0.0458,0.4413,0.62,0.425
"r.Dyer.Island",0.0836,-0.107,0.2808,0.036,0.076
"r.Geyser.Island",0.0274,-0.1685,0.2312,0.98,0.954
"r.De.Hoop",0.1519,-0.0465,0.3514,0.154,0.836
"r.Jahleel.Island",0.0291,-0.1621,0.2317,0.221,0.93
"r.Brenton.Island",-0.0909,-0.2897,0.1045,0.755,0.885
"r.St.Croix.Island",0.0027,-0.198,0.1995,0.592,0.762
"r.Seal.Island.Algoa.Bay",0.0341,-0.1626,0.2341,0.65,0.554
"r.Stag.Island",-0.0969,-0.2967,0.0975,0.577,0.968
"r.Bird.Island",0.0895,-0.1128,0.2838,0.642,0.814
"r.Mercury",-0.2776,-0.4689,-0.0788,0.702,0.909
"r.Ichaboe",-0.0629,-0.2553,0.1341,0.309,0.891
"r.Halifax",0.1361,-0.0543,0.3329,0.019,0.468
"r.Possession",0.1139,-0.0814,0.3128,0.082,0.124
"r.Pomona",0.0294,-0.1656,0.2325,0.025,0.422
"r.Plumpudding",0.1755,-0.0121,0.3863,0.193,0.17
"r.Sinclair",0.0861,-0.122,0.2736,0.474,0.827
"sigma.proc",0.4971,0.4672,0.5305,0.479,0.899
