"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.0684,-0.2722,0.1352,0.395,0.777
"r.Malgas.Island",0.025,-0.1778,0.2242,0.963,0.904
"r.Marcus.Island",-0.1656,-0.379,0.0317,0.293,0.267
"r.Jutten.Island",0.0157,-0.1918,0.2138,0.985,0.501
"r.Vondeling.Island",0.0588,-0.1464,0.262,0.71,0.476
"r.Dassen.Island",0.0429,-0.1568,0.2513,0.639,0.755
"r.Robben.Island",0.0601,-0.1485,0.2589,0.527,0.561
"r.Simonstown",0.1227,-0.0805,0.3273,0.483,0.678
"r.Seal.Island.False.Bay",0.0935,-0.1267,0.3236,0.116,0.138
"r.Stony.Point",0.2336,0.0242,0.442,0.908,0.969
"r.Dyer.Island",0.088,-0.118,0.2892,0.857,0.409
"r.Geyser.Island",0.0309,-0.168,0.2373,0.616,0.054
"r.De.Hoop",0.1823,-0.0222,0.3847,0.886,0.758
"r.Jahleel.Island",0.0301,-0.1768,0.2279,0.642,0.316
"r.Brenton.Island",-0.0911,-0.3004,0.1058,0.337,0.603
"r.St.Croix.Island",0.0055,-0.2013,0.2111,0.687,0.948
"r.Seal.Island.Algoa.Bay",0.0326,-0.171,0.2365,0.352,0.854
"r.Stag.Island",-0.0976,-0.3067,0.1042,0.966,0.633
"r.Bird.Island",0.0916,-0.1028,0.3033,0.598,0.841
"r.Mercury",-0.292,-0.4879,-0.0852,0.892,0.718
"r.Ichaboe",-0.0696,-0.2807,0.1267,0.896,0.556
"r.Halifax",0.1372,-0.0592,0.3432,0.379,0.161
"r.Possession",0.1168,-0.0817,0.3188,0.436,0.663
"r.Pomona",0.0292,-0.1727,0.242,0.678,0.364
"r.Plumpudding",0.1837,-0.0102,0.398,0.916,0.771
"r.Sinclair",0.0866,-0.1058,0.2972,0.395,0.683
"sigma.proc",0.5034,0.4653,0.5458,0.113,0.246
