"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.1006,-0.2869,0.0996,0.399,0.773
"r.Malgas.Island",0.0235,-0.1691,0.2208,0.533,0.214
"r.Marcus.Island",-0.163,-0.3563,0.0303,0.003,0.085
"r.Jutten.Island",0.0061,-0.1822,0.2032,0.136,0.101
"r.Vondeling.Island",0.0862,-0.109,0.279,0.715,0.877
"r.Dassen.Island",0.0523,-0.1461,0.2409,0.418,0.836
"r.Robben.Island",0.0696,-0.1238,0.2595,0.333,0.804
"r.Simonstown",0.1364,-0.0614,0.3228,0.008,0.055
"r.Seal.Island.False.Bay",0.0928,-0.1218,0.3039,0.414,0.007
"r.Stony.Point",0.2345,0.0377,0.4234,0.222,0.649
"r.Dyer.Island",0.0887,-0.0992,0.2842,0.9,0.291
"r.Geyser.Island",0.0275,-0.1706,0.2222,0.913,0.561
"r.De.Hoop",0.1752,-0.0169,0.3822,0.884,0.264
"r.Jahleel.Island",0.028,-0.1858,0.2144,0.647,0.822
"r.Brenton.Island",-0.0918,-0.2962,0.098,0.512,0.689
"r.St.Croix.Island",0.0019,-0.1983,0.1902,0.922,0.452
"r.Seal.Island.Algoa.Bay",0.0315,-0.1639,0.2315,0.634,0.401
"r.Stag.Island",-0.0994,-0.2964,0.0889,0.262,0.108
"r.Bird.Island",0.0876,-0.1038,0.2945,0.14,0.403
"r.Mercury",-0.2784,-0.4678,-0.0755,0.839,0.992
"r.Ichaboe",-0.0664,-0.2612,0.1283,0.066,0.251
"r.Halifax",0.1326,-0.0622,0.3265,0.482,0.079
"r.Possession",0.1133,-0.0704,0.3112,0.165,0.762
"r.Pomona",0.0268,-0.1673,0.2294,0.733,0.851
"r.Plumpudding",0.1729,-0.0201,0.3704,0.699,0.984
"r.Sinclair",0.0818,-0.1136,0.2717,0.243,0.245
"sigma.proc",0.4922,0.4588,0.5263,0.206,0.292
