"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.0613,-0.2366,0.1147,0.607,0.844
"r.Malgas.Island",0.0216,-0.1573,0.19,0.091,0.177
"r.Marcus.Island",-0.1469,-0.324,0.0208,0.158,0.14
"r.Jutten.Island",0.0061,-0.1639,0.187,0.464,0.742
"r.Vondeling.Island",0.0808,-0.0966,0.2514,0.892,0.354
"r.Dassen.Island",0.0607,-0.1108,0.2395,0.929,0.262
"r.Robben.Island",0.0777,-0.0963,0.2547,0.97,0.408
"r.Simonstown",0.147,-0.0375,0.3131,0.928,0.687
"r.Seal.Island.False.Bay",0.0945,-0.101,0.2808,0.582,0.464
"r.Stony.Point",0.2293,0.0515,0.3987,0.623,0.685
"r.Dyer.Island",0.0483,-0.1182,0.2327,0.898,0.473
"r.Geyser.Island",-0.1065,-0.2753,0.0729,0.834,0.47
"r.De.Hoop",0.1362,-0.0403,0.312,0.248,0.377
"r.Jahleel.Island",0.011,-0.1641,0.1821,0.795,0.591
"r.Brenton.Island",-0.09,-0.2615,0.0973,0.705,0.703
"r.St.Croix.Island",0.0109,-0.157,0.1954,0.877,0.715
"r.Seal.Island.Algoa.Bay",0.0357,-0.1384,0.2195,0.291,0.965
"r.Stag.Island",-0.0762,-0.2544,0.1003,0.098,0.401
"r.Bird.Island",0.0852,-0.0893,0.2632,0.128,0.407
"r.Mercury",-0.2169,-0.4,-0.0456,0.74,0.589
"r.Ichaboe",-0.0665,-0.2342,0.1111,0.152,0.202
"r.Halifax",0.0984,-0.079,0.263,0.797,0.941
"r.Possession",0.1046,-0.0632,0.2812,0.112,0.387
"r.Pomona",0.0354,-0.1418,0.2126,0.325,0.151
"r.Plumpudding",0.1712,0.0014,0.3512,0.703,0.586
"r.Sinclair",0.0542,-0.1163,0.2339,0.819,0.569
"sigma.proc",0.4803,0.4449,0.5076,0.324,0.698
