"pop.change","r.All.yrs","r.1GL","r.2GL"
-81.5362606136514,-0.0492374176101329,-0.0486655640662947,-0.0634976877194964
-79.1118884989341,-0.0901972097659378,-0.0906521600488102,-0.0939142222536535
-74.3115117373115,-0.0529086760835789,-0.072155058664169,-0.132041009414628
-72.8468183367548,-0.0657674493718563,-0.092951339044248,-0.0663860870397022
-87.5157063277259,-0.102824781911911,-0.121333777977369,-0.138952003026461
-79.9908117284885,-0.0856711353862458,-0.08890601966357,-0.0938154214479674
-78.417810942204,-0.025697205329676,-0.10527895798681,-0.098014126667942
-76.1106170584736,-0.0923865891819133,-0.104866238478198,-0.104866238478198
-79.6351488784135,-0.0662965006350582,-0.0481808510078352,-0.0654395793604827
-78.5878909807421,-0.0342092146080883,-0.0946389885975458,-0.085196190414714
-79.8166673619731,-0.110254193086528,-0.0936080992277954,-0.121917430677929
-77.573080262829,-0.071351822002379,-0.0577485715869948,-0.0846120455655797
-81.4500996367112,-0.0641532708194426,-0.0860073540266644,-0.0745775443369148
-81.3172017720882,-0.0886759335684975,-0.0972541941764842,-0.0940249436372342
-80.1220570800126,-0.0438572143309965,-0.121823863322056,-0.0585515514655315
-72.0480415460281,-0.0521984612635453,-0.0902912970330512,-0.0629261314483553
-85.0486107696078,-0.0520043316555689,-0.0629993392415198,-0.0629993392415198
-80.7533670302421,-0.0874055873642892,-0.0411503769177015,-0.0821318626252232
-76.9781536648623,-0.0593790682866082,-0.101803356031629,-0.0856993780521647
-83.5086519012925,-0.047173551860519,-0.0831260678987489,-0.0715037112248886
-76.6818853888629,-0.040832639210393,-0.0823790717830013,-0.104207207043285
-79.1415295476515,-0.0983000173892332,-0.0925839905014474,-0.0990646343413877
-82.9251959221026,-0.0464016954649971,-0.0865124627249108,-0.0635983761953929
-75.6710664007441,-0.0102645714050738,-0.111791079724242,-0.0956567347163793
-75.2944366069804,-0.0692777936333169,-0.125802045945593,-0.101668531354667
-81.4879084506838,-0.0788510734099805,-0.0985974534147154,-0.0851189964284238
-80.4644628785152,-0.07963928682838,-0.089496694126181,-0.089496694126181
-75.1083759855054,-0.0406111152313624,-0.129609008563703,-0.0796749873006064
-86.3036457581798,-0.0825175876728945,-0.10400556035602,-0.100098857114895
-81.6422423135208,-0.0686932343525886,-0.111880125962151,-0.0799354519095878
-72.6252706581477,-0.0627596496609204,-0.0600884959440693,-0.0600884959440693
-82.3504885329903,-0.0615460080372845,-0.102698294452048,-0.0739118289216245
-73.0122756713466,-0.086863973523025,-0.108152683639698,-0.094712680720769
-78.98284629941,-0.0712598597516862,-0.0991648699605507,-0.0733432448826328
-80.4579061325814,-0.0657151147800015,-0.0941561107410775,-0.0829503771344351
-78.5043620211828,-0.070851245068198,-0.0915332426172215,-0.0735707246952479
-77.4529792583951,-0.0707275048133749,-0.0711011121957954,-0.075087203917712
-75.8583705351267,-0.0519443302605644,-0.0773219287425686,-0.0979581475312523
-79.295133456629,-0.0708137220153002,-0.088461825611291,-0.0841800468547573
-81.8135783172409,-0.04981299470899,-0.0704933462485249,-0.0801216367264486
-76.540392723106,-0.0533495330336038,-0.0581863279269195,-0.0599460757032224
-72.1620983228621,-0.0850459105435561,-0.0772066668756555,-0.0934087500668674
-79.9183184918309,-0.0573983549811974,-0.0859801147578656,-0.0643505253410996
-79.0130172848559,-0.0818966845222207,-0.106353300146401,-0.0913145915196578
-78.4074098139173,-0.0769517115061902,-0.0876297863411661,-0.0933227497549547
-78.7278727514565,-0.0737465632910261,-0.0826997764052306,-0.0649895891406969
-81.2011381468246,-0.0468800993634151,-0.0812383941329049,-0.0905465275751398
-82.3898440843767,-0.0262659071664917,-0.0949847048857748,-0.0715152518497053
-81.7079724961149,-0.0517227358201229,-0.0841155079272786,-0.0841155079272786
-84.0511602831875,-0.0436891512385955,-0.0798002317340414,-0.0649383968602022
-80.4293976316632,-0.0607200831150116,-0.0942289491325061,-0.0942289491325061
-72.8784804113531,-0.00660734220570447,-0.0615751859600735,-0.0615751859600735
-76.7563450075998,-0.0570251016103285,-0.110665793719416,-0.101380948919478
-74.5616268868773,-0.0752937556673707,-0.0824254191048848,-0.0891499509870988
-79.1777807710885,-0.0707617288072111,-0.118693718829142,-0.0711912786504421
-77.7600156705034,-0.079411777052993,-0.0596498299148642,-0.0817195493733482
-77.3569835703431,-0.0605646490011846,-0.104215717324566,-0.0684652446606391
-73.0919311648249,-0.0639059177818222,-0.0969970449998314,-0.0823802025434075
-72.3931102270273,-0.0243654568130616,-0.050144578752036,-0.094686228412427
-72.0033667738499,-0.0667820723943642,-0.075748897709305,-0.075748897709305
-78.5155764555087,-0.0838732018883483,-0.0790431443639097,-0.0825242004939852
-76.5485080152134,-0.0711021175985351,-0.110469526127503,-0.103827187367153
-78.1833984072355,-0.0359280111209355,-0.105676071366539,-0.0532457201415371
-85.8869972310351,-0.0743343658500972,-0.125864474378989,-0.11487166714971
-80.415533784928,-0.0439664467190113,-0.0776811828760522,-0.0719482066257005
-77.831811435674,-0.0486566194428448,-0.0775115983726167,-0.0601041209769431
-85.7055211515704,-0.0537484505320212,-0.0792401932927591,-0.0566297267442941
-77.9755548473521,-0.0594492178579671,-0.0787987368985261,-0.0924252866342705
-80.9373448519605,-0.091969335677323,-0.152005567578504,-0.13083425005041
-76.6018116425758,-0.0790918342673788,-0.0861344916460087,-0.0861344916460087
-80.7970965386697,-0.0622492093861879,-0.0891195870851611,-0.0924987970915438
-72.6098309718435,-0.0871783876625383,-0.0938321341998565,-0.10382905237197
-72.8117582167657,-0.0670095806027877,-0.101162748154616,-0.102204157970826
-76.8276606798203,-0.0280617839512072,-0.0708802011451315,-0.0708802011451315
-80.2091532913454,-0.110563061405843,-0.0927345528958634,-0.111569698458779
-74.1097893943114,-0.0403473703449073,-0.101500729782093,-0.101500729782093
-84.3926284090396,-0.0908371298829067,-0.097933611458946,-0.0919220572896275
-79.4242441311011,-0.0490538589360927,-0.074289199894654,-0.0718467214385399
-74.9411095465207,-0.103395997800785,-0.102608160243697,-0.106386792927109
-76.4582266963889,-0.053417784118615,-0.086482705454193,-0.0917148927673024
-80.7520511032374,-0.0955591033273286,-0.111068160547246,-0.114565022331846
-82.4782383326339,-0.0770718797394991,-0.0811239841060472,-0.0840959859541304
-79.3799951268105,-0.0348616038533542,-0.111099781137192,-0.0717647735513722
-71.2993583574236,-0.058025200389908,-0.0657789358458221,-0.0657789358458221
-78.5960682565324,-0.0671744415045534,-0.120331373422431,-0.0825871452625773
-77.3999033150502,-0.0819735855453914,-0.0644259927492072,-0.0832586004195521
-71.1155187948823,-0.0425159300682534,-0.051480114705293,-0.051480114705293
-78.4734092872003,-0.054690995997225,-0.078865593059624,-0.078865593059624
