"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.0698,-0.2779,0.1606,0.439,0.747
"r.Malgas.Island",0.0281,-0.1999,0.2411,0.811,0.911
"r.Marcus.Island",-0.1856,-0.4029,0.0384,0.242,0.23
"r.Jutten.Island",-0.0077,-0.2339,0.2055,0.424,0.9
"r.Vondeling.Island",0.0306,-0.1839,0.2459,0.953,0.888
"r.Dassen.Island",0.0273,-0.1873,0.2466,0.083,0.216
"r.Robben.Island",0.0462,-0.172,0.2631,0.1,0.075
"r.Simonstown",0.125,-0.0967,0.3347,0.35,0.094
"r.Seal.Island.False.Bay",0.0986,-0.1483,0.3451,0.721,0.742
"r.Stony.Point",0.2453,0.0212,0.4627,0.083,0.091
"r.Dyer.Island",0.0936,-0.1209,0.3249,0.393,0.479
"r.Geyser.Island",-0.0035,-0.2186,0.2175,0.077,0.229
"r.De.Hoop",0.1946,-0.0198,0.4233,0.071,0.408
"r.Jahleel.Island",0.0526,-0.1704,0.268,0.05,0.229
"r.Brenton.Island",-0.1329,-0.3494,0.0893,0.014,0.539
"r.St.Croix.Island",-0.0045,-0.2239,0.2172,0.252,0.328
"r.Seal.Island.Algoa.Bay",0.031,-0.1839,0.2562,0.128,0.455
"r.Stag.Island",-0.1136,-0.3344,0.107,0.663,0.216
"r.Bird.Island",0.0828,-0.1339,0.3004,0.193,0.952
"r.Mercury",-0.3158,-0.5408,-0.1054,0.127,0.119
"r.Ichaboe",-0.0957,-0.307,0.1183,0.228,0.275
"r.Halifax",0.142,-0.0785,0.3632,0.824,0.989
"r.Possession",0.1351,-0.0904,0.3499,0.477,0.796
"r.Pomona",0.03,-0.192,0.2483,0.539,0.942
"r.Plumpudding",0.1912,-0.0224,0.4132,0.351,0.791
"r.Sinclair",0.0713,-0.1437,0.2963,0.246,0.627
"sigma.proc",0.5185,0.4779,0.5586,0.599,0.662
