"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.06,-0.2333,0.1178,0.835,0.818
"r.Malgas.Island",0.0251,-0.1509,0.2051,0.67,0.705
"r.Marcus.Island",-0.1442,-0.3305,0.0262,0.312,0.054
"r.Jutten.Island",0.0075,-0.1662,0.1841,0.963,0.517
"r.Vondeling.Island",0.084,-0.1038,0.2494,0.804,0.991
"r.Dassen.Island",0.0635,-0.1178,0.2383,0.192,0.385
"r.Robben.Island",0.0786,-0.0959,0.2591,0.246,0.296
"r.Simonstown",0.1461,-0.0306,0.3264,0,0.151
"r.Seal.Island.False.Bay",0.0996,-0.1001,0.2875,0.529,0.593
"r.Stony.Point",0.2325,0.0505,0.4056,0.369,0.566
"r.Dyer.Island",0.0594,-0.1109,0.2374,0.397,0.39
"r.Geyser.Island",-0.1023,-0.2804,0.0783,0.862,0.662
"r.De.Hoop",0.1636,-0.0201,0.3438,0.167,0.717
"r.Jahleel.Island",0.0129,-0.1613,0.203,0.948,0.575
"r.Brenton.Island",-0.0852,-0.2622,0.0964,0.275,0.571
"r.St.Croix.Island",0.0117,-0.1646,0.2011,0.872,0.619
"r.Seal.Island.Algoa.Bay",0.0385,-0.1347,0.2265,0.483,0.292
"r.Stag.Island",-0.076,-0.2473,0.1015,0.794,0.911
"r.Bird.Island",0.0875,-0.0947,0.2658,0.528,0.64
"r.Mercury",-0.2142,-0.387,-0.0328,0.364,0.188
"r.Ichaboe",-0.064,-0.2403,0.1109,0.294,0.093
"r.Halifax",0.1128,-0.0613,0.2935,0.285,0.627
"r.Possession",0.1072,-0.0705,0.28,0.062,0.077
"r.Pomona",0.0388,-0.1448,0.2121,0.395,0.286
"r.Plumpudding",0.1751,-1e-04,0.3536,0.79,0.346
"r.Sinclair",0.057,-0.1187,0.2383,0.154,0.095
"sigma.proc",0.4835,0.4476,0.5195,0.191,0.213
