"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.0753,-0.2693,0.1034,0.934,0.632
"r.Malgas.Island",0.029,-0.1634,0.2133,0.289,0.211
"r.Marcus.Island",-0.1325,-0.3233,0.0518,0.36,0.332
"r.Jutten.Island",0.0265,-0.1564,0.2135,0.375,0.724
"r.Vondeling.Island",0.0698,-0.1011,0.2722,0.509,0.082
"r.Dassen.Island",0.0664,-0.122,0.2498,0.798,0.989
"r.Robben.Island",0.0786,-0.1042,0.2682,0.492,0.923
"r.Simonstown",0.1461,-0.0426,0.3329,0.761,0.567
"r.Seal.Island.False.Bay",0.0917,-0.1083,0.2984,0.039,0.437
"r.Stony.Point",0.2293,0.0426,0.4208,0.2,0.233
"r.Dyer.Island",0.0647,-0.1166,0.2575,0.634,0.058
"r.Geyser.Island",-0.0967,-0.2856,0.0857,0.508,0.199
"r.De.Hoop",0.1456,-0.0514,0.3305,0.429,0.371
"r.Jahleel.Island",0.0144,-0.1719,0.2082,0.191,0.165
"r.Brenton.Island",-0.0959,-0.2762,0.1031,0.297,0.108
"r.St.Croix.Island",0.0086,-0.1797,0.2086,0.12,0.377
"r.Seal.Island.Algoa.Bay",0.0362,-0.1456,0.2369,0.155,0.627
"r.Stag.Island",-0.0833,-0.2702,0.1094,0.765,0.594
"r.Bird.Island",0.1221,-0.0673,0.3061,0.153,0.556
"r.Mercury",-0.2389,-0.4197,-0.0503,0.438,0.929
"r.Ichaboe",-0.0687,-0.2534,0.1136,0.95,0.637
"r.Halifax",0.1386,-0.0423,0.3315,0.989,0.942
"r.Possession",0.1132,-0.0705,0.3047,0.656,0.708
"r.Pomona",0.0382,-0.1512,0.2235,0.66,0.568
"r.Plumpudding",0.1703,-0.0156,0.3615,0.461,0.392
"r.Sinclair",0.087,-0.097,0.2793,0.708,0.424
"sigma.proc",0.4935,0.4626,0.5303,0.502,0.606
