"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.0721,-0.2686,0.1321,0.155,0.18
"r.Malgas.Island",0.0244,-0.1796,0.2201,0.591,0.189
"r.Marcus.Island",-0.1687,-0.3655,0.0409,0.596,0.497
"r.Jutten.Island",0.0141,-0.1808,0.2262,0.879,0.83
"r.Vondeling.Island",0.0561,-0.1419,0.2589,0.711,0.908
"r.Dassen.Island",0.0404,-0.1672,0.2352,0.167,0.147
"r.Robben.Island",0.0594,-0.1375,0.27,0.686,0.094
"r.Simonstown",0.1242,-0.0794,0.3236,0.617,0.928
"r.Seal.Island.False.Bay",0.0914,-0.137,0.3099,0.542,0.435
"r.Stony.Point",0.2308,0.0352,0.4397,0.89,0.488
"r.Dyer.Island",0.0747,-0.1257,0.2772,0.599,0.957
"r.Geyser.Island",0.0295,-0.1683,0.2443,0.32,0.205
"r.De.Hoop",0.1524,-0.0534,0.3556,0.334,0.679
"r.Jahleel.Island",0.0272,-0.1771,0.2288,0.652,0.955
"r.Brenton.Island",-0.0937,-0.2986,0.1049,0.974,0.88
"r.St.Croix.Island",0.0011,-0.2055,0.202,0.377,0.263
"r.Seal.Island.Algoa.Bay",0.0349,-0.1625,0.2335,0.118,0.201
"r.Stag.Island",-0.1022,-0.2987,0.1084,0.179,0.558
"r.Bird.Island",0.0918,-0.1166,0.2812,0.839,0.771
"r.Mercury",-0.2923,-0.4953,-0.0916,0.312,0.377
"r.Ichaboe",-0.0734,-0.2766,0.1253,0.319,0.14
"r.Halifax",0.1184,-0.0799,0.3223,0.167,0.237
"r.Possession",0.115,-0.0772,0.3196,0.077,0.388
"r.Pomona",0.0292,-0.1826,0.2242,0.922,0.961
"r.Plumpudding",0.1771,-0.0197,0.3798,0.354,0.959
"r.Sinclair",0.0848,-0.1209,0.281,0.45,0.408
"sigma.proc",0.5011,0.4626,0.5365,0.142,0.277
